STATE,OWNERSHIP,BEDCERT,RESTOT,INCIDENT_CNT,CMPLNT_CNT,FINE_CNT,FINE_TOT,PAYDEN_CNT,TOT_PENLTY_CNT
IL,Government - County,2588,1760.9000000000003,19,62,6,110850,3,9
IL,Government - Federal,221,166.8,5,18,3,77426,0,3
IL,Government - Hospital district,123,79.0,0,0,0,0,0,0
IL,Non profit - Church related,3524,2453.8,20,92,7,132492,1,8
IL,Non profit - Corporation,9319,6211.2,32,330,27,905137,3,30
IL,Non profit - Other,2497,1630.3000000000002,14,117,2,48700,0,2
IN,For profit - Corporation,21652,14707.800000000005,207,2119,102,3338931,15,117
IN,For profit - Individual,1255,776.5,6,160,6,313604,1,7
IN,For profit - Limited Liability company,378,204.8,9,67,1,14592,2,3
IN,For profit - Partnership,670,421.7,10,53,2,27293,0,2
IN,Government - City,206,167.10000000000002,0,9,0,0,0,0
IN,Government - City/county,2421,1696.7,14,153,6,214973,4,10
IN,Government - County,9734,6607.100000000001,77,409,25,911322,2,27
IN,Government - Hospital district,195,149.60000000000002,1,14,2,168703,1,3
IN,Government - State,331,149.6,1,7,0,0,0,0
IN,Non profit - Church related,1300,993.1,4,45,3,20946,1,4
IN,Non profit - Corporation,10721,7237.600000000002,128,684,38,1225713,6,44
IN,Non profit - Other,2837,1976.2,11,114,6,228112,1,7
KS,For profit - Corporation,10658,8007.999999999997,201,645,86,2307041,33,119
KS,For profit - Individual,1008,772.3000000000001,9,15,4,67418,1,5
KS,For profit - Limited Liability company,174,158.5,6,16,2,22908,1,3
KS,For profit - Partnership,496,392.6,12,15,7,89798,3,10
KS,Government - City,89,75.80000000000001,0,0,0,0,0,0
KS,Government - City/county,60,46.5,1,1,0,0,0,0
KS,Government - County,388,332.9,2,4,0,0,0,0
KS,Government - Hospital district,374,305.20000000000005,6,3,0,0,0,0
KS,Government - State,732,535.3000000000001,20,53,10,211398,4,14
KS,Non profit - Church related,1401,1137.8000000000002,21,27,8,183173,3,11
KS,Non profit - Corporation,4743,3860.899999999999,80,93,40,859921,12,52
KS,Non profit - Other,559,466.8,4,6,2,27950,0,2
KY,For profit - Corporation,18168,14633.799999999996,115,262,97,7223303,23,120
KY,For profit - Individual,1638,1323.3999999999999,18,43,12,1124798,2,14
KY,For profit - Limited Liability company,1098,912.7,7,13,14,251447,2,16
KY,For profit - Partnership,1132,908.6,12,21,11,776051,2,13
KY,Government - City/county,226,115.6,0,5,1,64231,0,1
KY,Government - State,925,552.9000000000001,3,1,0,0,0,0
KY,Non profit - Church related,668,535.8,6,6,9,515734,3,12
KY,Non profit - Corporation,2523,1955.3999999999999,17,15,14,692483,3,17
KY,Non profit - Other,376,308.6,3,5,2,55971,1,3
LA,For profit - Corporation,20206,13726.000000000002,84,374,50,1247936,14,64
LA,For profit - Individual,1271,883.8,8,40,1,8778,1,2
LA,For profit - Limited Liability company,4286,3037.6000000000004,19,76,18,300597,5,23
LA,For profit - Partnership,2641,1752.8000000000002,8,27,5,92260,2,7
LA,Government - Federal,66,54.2,0,0,1,7027,0,1
LA,Government - Hospital district,401,271.3,0,3,1,26534,0,1
LA,Government - State,206,117.1,0,1,0,0,0,0
LA,Non profit - Church related,881,472.7,3,6,1,60775,2,3
LA,Non profit - Corporation,3737,2489.8,10,51,8,274753,0,8
LA,Non profit - Other,334,193.3,0,5,0,0,0,0
MA,For profit - Corporation,23458,16716.400000000005,133,164,163,3729337,10,173
MA,For profit - Individual,1828,1258.3,17,15,13,336238,1,14
MA,For profit - Limited Liability company,615,430.30000000000007,3,0,3,28346,0,3
MA,For profit - Partnership,4798,3383.5,24,42,21,814387,3,24
MA,Government - City,109,77.6,2,2,2,69506,0,2
MA,Government - City/county,45,36.6,0,0,1,8778,0,1
MA,Government - State,88,10.6,2,0,0,0,0,0
MA,Non profit - Church related,1249,972.6999999999999,4,2,4,69443,0,4
MA,Non profit - Corporation,10560,7431.999999999997,33,34,43,917105,2,45
MA,Non profit - Other,676,505.7,0,3,2,16507,0,2
MD,For profit - Corporation,16455,12130.100000000006,531,747,27,2820980,3,30
MD,For profit - Individual,1128,915.8000000000001,17,45,2,19896,0,2
MD,For profit - Limited Liability company,1966,1422.9000000000003,94,115,3,125583,1,4
MD,For profit - Partnership,1358,1064.3999999999999,25,65,4,231402,2,6
MD,Government - City/county,272,220.5,9,3,1,9692,0,1
MD,Government - County,10,4.1,0,0,0,0,0,0
MD,Government - Federal,35,17.8,0,0,0,0,0,0
MD,Government - State,143,71.69999999999999,2,1,0,0,0,0
MD,Non profit - Church related,834,653.3,37,13,3,653583,0,3
MD,Non profit - Corporation,4927,3546.4,131,92,12,520979,2,14
MD,Non profit - Other,843,618.5,1,9,2,18986,0,2
ME,For profit - Corporation,4138,3434.2999999999993,161,114,10,146976,1,11
ME,For profit - Individual,77,67.80000000000001,1,1,0,0,0,0
ME,For profit - Limited Liability company,30,21.3,0,1,0,0,0,0
ME,For profit - Partnership,92,75.19999999999999,19,2,0,0,0,0
ME,Government - City,219,159.9,1,0,0,0,0,0
ME,Non profit - Corporation,1632,1338.6999999999998,22,23,2,11633,0,2
ME,Non profit - Other,358,270.3,1,2,0,0,0,0
MI,For profit - Corporation,21598,15489.299999999996,1290,2635,183,5549629,87,270
MI,For profit - Individual,4532,3363.200000000001,218,629,41,1212323,16,57
MI,For profit - Limited Liability company,2560,1648.1000000000001,274,363,30,1541940,12,42
MI,For profit - Partnership,2930,2092.2,100,289,20,446847,10,30
MI,Government - City/county,39,29.9,16,0,2,27071,0,2
MI,Government - County,4710,3907.6,301,93,17,558904,13,30
MI,Government - Hospital district,104,90.0,4,6,1,10000,0,1
MI,Government - State,81,68.6,14,0,1,26745,1,2
MI,Non profit - Church related,510,368.20000000000005,27,35,12,247513,1,13
MI,Non profit - Corporation,6397,4509.499999999999,323,479,34,940913,19,53
MI,Non profit - Other,2214,1404.6999999999996,111,227,17,396249,10,27
MN,For profit - Corporation,7056,5390.499999999997,337,436,25,625741,15,40
MN,For profit - Individual,428,280.0,25,80,4,201662,1,5
MN,For profit - Partnership,1020,755.0,40,82,4,122329,4,8
MN,Government - City,687,557.3,32,5,3,51016,1,4
MN,Government - City/county,32,26.4,0,0,0,0,0,0
MN,Government - County,427,312.09999999999997,27,18,1,17350,0,1
MN,Government - Hospital district,290,262.00000000000006,6,2,1,11278,0,1
MN,Government - State,574,517.0,8,4,0,0,0,0
MN,Non profit - Church related,3342,2708.7000000000003,104,40,6,125940,5,11
MN,Non profit - Corporation,13005,10300.599999999991,363,274,41,906081,9,50
MN,Non profit - Other,773,615.0,24,8,4,113901,1,5
MO,For profit - Corporation,28131,18402.69999999999,246,868,67,2029423,44,111
MO,For profit - Individual,6740,4222.000000000001,45,150,10,976591,9,19
MO,For profit - Limited Liability company,6548,4414.800000000003,99,288,18,801863,16,34
MO,For profit - Partnership,1025,752.2000000000002,11,24,0,0,2,2
MO,Government - City,208,146.1,3,0,1,42110,1,2
MO,Government - City/county,215,109.1,1,0,0,0,0,0
MO,Government - County,2127,1228.8999999999999,14,22,2,70185,3,5
MO,Government - Hospital district,18,16.8,0,0,0,0,0,0
MO,Non profit - Church related,1377,976.5,11,9,4,112921,0,4
MO,Non profit - Corporation,6617,4512.900000000001,40,75,7,178655,7,14
MO,Non profit - Other,1284,877.1999999999999,2,15,1,11278,0,1
MS,For profit - Corporation,11010,8628.799999999997,56,76,40,1043293,6,46
MS,For profit - Individual,986,805.5000000000001,6,6,4,36252,0,4
MS,For profit - Limited Liability company,1435,1250.7,5,11,1,21393,1,2
MS,For profit - Partnership,1175,967.8999999999999,2,5,0,0,0,0
MS,Government - City/county,517,444.4,3,0,1,16994,0,1
MS,Government - County,1206,1056.9,2,8,3,22857,1,4
MS,Government - State,450,353.79999999999995,5,2,0,0,0,0
MS,Non profit - Corporation,1352,1151.3000000000002,7,0,1,6500,0,1
MS,Non profit - Other,60,48.2,0,0,0,0,0,0
MT,For profit - Corporation,2223,1213.6999999999996,16,46,17,849487,4,21
MT,For profit - Individual,261,118.3,0,5,1,57486,0,1
MT,For profit - Limited Liability company,1226,675.5999999999999,1,71,16,777923,1,17
MT,For profit - Partnership,167,119.2,3,8,2,109512,0,2
MT,Government - City/county,47,21.4,1,3,2,160308,0,2
MT,Government - County,246,145.9,0,0,1,10286,1,2
MT,Government - State,222,162.7,0,4,0,0,0,0
MT,Non profit - Church related,335,203.2,1,33,2,131586,2,4
MT,Non profit - Corporation,1353,927.3,11,15,6,242706,2,8
MT,Non profit - Other,194,103.3,0,10,0,0,2,2
NC,For profit - Corporation,29503,22033.300000000003,63,1297,211,9069739,21,232
NC,For profit - Individual,684,431.5,0,25,3,252998,0,3
NC,For profit - Limited Liability company,6366,4602.6,13,434,52,2518061,9,61
NC,For profit - Partnership,1295,968.0,6,63,10,577948,2,12
NC,Government - County,80,58.0,0,5,2,157467,0,2
NC,Government - Federal,72,47.4,8,6,1,43808,2,3
NC,Government - Hospital district,33,32.6,0,0,0,0,0,0
NC,Government - State,907,714.4,0,5,2,10141,0,2
NC,Non profit - Church related,937,802.6999999999998,1,10,2,70614,1,3
NC,Non profit - Corporation,3969,3111.8999999999996,10,80,12,557528,1,13
NC,Non profit - Other,523,424.1,0,51,0,0,0,0
ND,For profit - Corporation,288,172.60000000000002,0,20,1,68621,0,1
ND,Government - City,69,62.1,0,2,1,8270,0,1
ND,Government - State,52,46.7,0,0,0,0,0,0
ND,Non profit - Church related,1780,1421.1999999999998,0,3,0,0,0,0
ND,Non profit - Corporation,3658,3173.8999999999996,0,35,3,92374,0,3
ND,Non profit - Other,52,48.2,0,2,1,7153,0,1
NE,For profit - Corporation,4880,3199.8,139,263,12,505501,23,35
NE,For profit - Individual,719,455.00000000000006,28,85,2,58588,6,8
NE,For profit - Limited Liability company,602,376.59999999999997,14,36,3,86960,5,8
NE,For profit - Partnership,64,49.7,1,3,0,0,1,1
NE,Government - City,1009,756.7,66,14,1,58774,4,5
NE,Government - City/county,393,271.8,12,9,1,11278,1,2
NE,Government - County,390,310.5,15,3,1,11000,3,4
NE,Government - Federal,60,37.6,5,1,0,0,0,0
NE,Government - Hospital district,162,106.39999999999999,17,2,0,0,0,0
NE,Non profit - Church related,250,169.29999999999998,2,1,0,0,0,0
NE,Non profit - Corporation,5659,4191.900000000001,118,90,3,124651,14,17
NE,Non profit - Other,463,326.40000000000003,18,10,1,6633,2,3
NH,For profit - Corporation,4418,3444.7,44,22,5,63392,0,5
NH,For profit - Partnership,100,79.3,0,0,0,0,0,0
NH,Government - City/county,300,272.3,0,0,0,0,0,0
NH,Government - County,1463,1233.1000000000001,3,2,2,13000,0,2
NH,Government - State,130,114.9,2,0,0,0,0,0
NH,Non profit - Church related,326,273.5,2,0,0,0,0,0
NH,Non profit - Corporation,679,501.3,1,1,0,0,0,0
NJ,For profit - Corporation,18863,12325.7,31,516,47,1179268,0,47
NJ,For profit - Individual,3225,2205.2000000000003,3,59,6,395357,0,6
NJ,For profit - Limited Liability company,12706,8460.1,3,329,23,576219,0,23
NJ,For profit - Partnership,5890,4260.700000000001,8,108,16,307527,0,16
NJ,Government - County,2046,1350.8999999999999,1,5,1,9753,0,1
NJ,Government - State,964,684.8,0,2,1,8648,0,1
NJ,Non profit - Church related,1464,974.8000000000001,0,19,6,35907,0,6
NJ,Non profit - Corporation,6930,4380.900000000001,1,82,9,233968,0,9
NJ,Non profit - Other,479,323.0,0,6,1,6893,0,1
NM,For profit - Corporation,4244,3156.6000000000004,32,114,19,490192,10,29
NM,For profit - Individual,58,13.3,0,0,0,0,0,0
NM,For profit - Limited Liability company,1053,714.4,5,27,7,241420,5,12
NM,For profit - Partnership,88,66.5,1,4,0,0,0,0
NM,Government - Hospital district,34,25.3,0,0,0,0,0,0
NM,Government - State,548,372.1,6,2,4,230171,3,7
NM,Non profit - Corporation,877,628.3,12,13,8,467826,5,13
NM,Non profit - Other,40,27.0,0,2,1,168522,1,2
NV,For profit - Corporation,4277,3033.000000000001,95,202,1,13627,0,1
NV,For profit - Individual,781,618.1,12,42,1,9952,0,1
NV,For profit - Limited Liability company,1180,859.9999999999999,15,34,0,0,0,0
NV,For profit - Partnership,180,104.6,0,7,0,0,0,0
NV,Government - County,24,23.0,0,1,0,0,0,0
NV,Government - Hospital district,108,94.80000000000001,1,4,0,0,0,0
NV,Government - State,276,229.6,10,2,0,0,0,0
NV,Non profit - Corporation,357,223.60000000000002,6,7,0,0,0,0
NY,For profit - Corporation,44648,35414.29999999998,246,371,40,958830,1,41
NY,For profit - Individual,4941,4014.9,32,31,5,102304,0,5
NY,For profit - Limited Liability company,12376,9925.6,64,142,16,481874,0,16
NY,For profit - Partnership,10920,8758.400000000001,70,110,14,255683,2,16
NY,Government - City,2803,1182.1,2,2,0,0,0,0
NY,Government - City/county,620,574.0999999999999,0,0,1,52390,0,1
NY,Government - County,3345,2912.6,56,10,5,55546,0,5
NY,Government - State,1878,1268.6,6,0,1,4475,0,1
NY,Non profit - Church related,2935,2209.3,5,7,0,0,0,0
NY,Non profit - Corporation,28598,22521.500000000004,119,116,20,304513,0,20
NY,Non profit - Other,1647,1412.2,4,10,0,0,0,0
OH,For profit - Corporation,59137,44423.20000000004,145,2558,167,4836414,85,252
OH,For profit - Individual,5343,4018.5999999999995,17,209,13,522611,9,22
OH,For profit - Limited Liability company,672,476.20000000000005,0,5,0,0,0,0
OH,For profit - Partnership,3110,2373.0,11,173,7,128484,7,14
OH,Government - City,261,224.6,0,0,0,0,0,0
OH,Government - City/county,109,69.7,1,8,0,0,0,0
OH,Government - County,1297,897.5000000000001,1,6,2,63580,0,2
OH,Government - State,427,357.7,0,0,0,0,0,0
OH,Non profit - Church related,2709,2059.0,4,44,1,1363,2,3
OH,Non profit - Corporation,12434,9610.799999999996,30,280,19,597062,9,28
OH,Non profit - Other,1861,1359.8000000000002,3,84,7,127163,2,9
OK,For profit - Corporation,14381,8249.000000000002,6,386,53,1073156,28,81
OK,For profit - Individual,4768,2915.6,2,167,27,742264,19,46
OK,For profit - Limited Liability company,1112,589.9000000000001,1,27,4,92264,3,7
OK,For profit - Partnership,4664,2915.2999999999997,1,96,13,544515,10,23
OK,Government - City,412,278.2,0,10,1,10824,1,2
OK,Government - City/county,587,412.0,1,55,3,30553,5,8
OK,Government - County,300,200.8,0,4,1,9750,1,2
OK,Government - State,175,0.0,0,0,0,0,0,0
OK,Non profit - Church related,561,364.4,0,5,2,34850,1,3
OK,Non profit - Corporation,1477,952.6,0,12,7,254078,3,10
OK,Non profit - Other,8,5.0,0,0,0,0,0,0
OR,For profit - Corporation,7871,4793.100000000001,195,718,74,1979032,4,78
OR,For profit - Individual,293,111.3,4,15,1,36075,1,2
OR,For profit - Limited Liability company,169,105.89999999999999,10,11,0,0,1,1
OR,For profit - Partnership,796,451.3,12,39,6,96678,1,7
OR,Government - City,50,24.5,0,0,0,0,0,0
OR,Government - Hospital district,104,46.5,1,12,0,0,0,0
OR,Non profit - Corporation,1520,1036.5,29,34,9,152551,0,9
PA,For profit - Corporation,36162,27484.500000000004,178,1903,85,2943157,24,109
PA,For profit - Individual,185,152.9,2,18,1,25025,0,1
PA,For profit - Limited Liability company,239,159.2,0,6,0,0,0,0
PA,For profit - Partnership,9123,7208.000000000001,40,483,18,1268031,7,25
PA,Government - County,6806,5085.999999999999,13,64,5,118667,0,5
PA,Government - State,1323,1098.9,6,9,0,0,0,0
PA,Non profit - Church related,3448,2678.4000000000005,20,69,7,322754,3,10
PA,Non profit - Corporation,28304,21855.399999999987,99,560,58,2359026,8,66
PA,Non profit - Other,2128,1638.7,9,57,4,48625,0,4
PR,For profit - Corporation,124,22.700000000000003,0,0,3,21798,0,3
PR,Non profit - Corporation,87,21.9,0,0,3,14453,0,3
RI,For profit - Corporation,5229,3871.7000000000003,111,33,10,240638,0,10
RI,For profit - Individual,350,287.7,9,2,1,42114,0,1
RI,For profit - Limited Liability company,922,728.6,36,7,2,60842,0,2
RI,For profit - Partnership,905,707.7,42,10,6,195703,0,6
RI,Non profit - Church related,98,70.0,0,0,0,0,0,0
RI,Non profit - Corporation,1052,841.3,11,2,6,177208,1,7
RI,Non profit - Other,60,54.7,0,0,0,0,0,0
SC,For profit - Corporation,11442,9400.699999999999,351,59,72,2568944,18,90
SC,For profit - Individual,773,623.0,16,3,2,247819,1,3
SC,For profit - Limited Liability company,3441,2743.5999999999995,71,10,19,450165,4,23
SC,For profit - Partnership,191,92.19999999999999,0,0,0,0,0,0
SC,Government - County,272,243.3,17,0,1,27810,1,2
SC,Government - Federal,85,78.6,1,0,2,20868,0,2
SC,Government - Hospital district,614,482.90000000000003,20,0,3,43211,0,3
SC,Government - State,1092,714.5999999999999,57,1,3,364294,1,4
SC,Non profit - Church related,525,320.9,12,0,2,24242,0,2
SC,Non profit - Corporation,938,633.5,29,0,4,251751,0,4
SC,Non profit - Other,619,469.2,11,1,3,35613,0,3
SD,For profit - Corporation,930,730.0,4,3,2,17091,0,2
SD,For profit - Individual,40,36.2,0,0,0,0,0,0
SD,For profit - Limited Liability company,1293,1047.1,6,26,4,215892,0,4
SD,Government - City,177,157.5,2,0,1,19246,0,1
SD,Government - State,145,122.19999999999999,0,0,0,0,0,0
SD,Non profit - Church related,786,683.0,1,1,0,0,0,0
SD,Non profit - Corporation,2688,2306.1000000000004,7,14,11,307024,0,11
SD,Non profit - Other,303,237.2,0,1,1,9958,0,1
TN,For profit - Corporation,19261,12987.69999999999,323,221,53,2925119,18,71
TN,For profit - Individual,2242,1573.4,30,31,7,725507,0,7
TN,For profit - Limited Liability company,5675,3977.1,46,65,14,549695,1,15
TN,For profit - Partnership,2349,1680.8000000000002,35,30,3,175066,1,4
TN,Government - City/county,160,132.4,0,0,0,0,0,0
TN,Government - County,1014,645.7000000000002,6,7,3,82377,0,3
TN,Government - State,759,586.9000000000001,2,1,1,61600,0,1
TN,Non profit - Church related,261,205.5,0,0,0,0,0,0
TN,Non profit - Corporation,3474,2396.499999999999,43,38,7,1517089,4,11
TN,Non profit - Other,968,700.3000000000001,15,15,3,47342,0,3
TX,For profit - Corporation,72660,46281.400000000016,856,2258,216,7176551,69,285
TX,For profit - Individual,7696,4838.099999999999,72,188,31,2153644,6,37
TX,For profit - Limited Liability company,19447,12092.90000000001,268,778,73,2309242,27,100
TX,For profit - Partnership,10547,6756.999999999999,118,305,39,1408387,24,63
TX,Government - City,60,56.6,1,0,1,7287,0,1
TX,Government - City/county,150,71.8,0,0,0,0,0,0
TX,Government - County,760,537.4000000000001,9,20,3,23601,0,3
TX,Government - Federal,124,80.3,1,4,1,78108,0,1
TX,Government - Hospital district,14466,9287.300000000001,157,390,34,806911,11,45
TX,Government - State,642,522.2,2,1,0,0,0,0
TX,Non profit - Church related,816,542.9,3,5,1,55000,1,2
TX,Non profit - Corporation,5980,3822.1000000000004,51,94,14,356055,3,17
TX,Non profit - Other,590,323.3,2,2,0,0,0,0
UT,For profit - Corporation,4122,2479.2999999999993,0,126,7,140093,2,9
UT,For profit - Individual,278,156.5,0,1,0,0,1,1
UT,For profit - Limited Liability company,593,358.79999999999995,0,20,1,11281,0,1
UT,For profit - Partnership,70,36.2,0,2,0,0,0,0
UT,Government - City,365,291.29999999999995,0,26,5,208469,1,6
UT,Government - City/county,167,115.8,0,5,1,144651,0,1
UT,Government - County,833,475.1,0,42,6,76769,0,6
