Facility Name,Facility Name Normalized,Changed,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score,VlookupMatch
Geneva Shores,GENEVA SHORES NURSING AND REHABILITATION,,GENEVA SHORES NURSING AND REHABILITATION,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENEVA SHORES NURSING AND REHABILITATION,100,True
Jefferson Healthcare Center,JEFFERSON HEALTHCARE CENTER,,JEFFERSON HEALTHCARE CENTER,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JEFFERSON HEALTHCARE CENTER,100,True
Lake Pointe Rehabilitation and Nursing,LAKE POINTE REHABILITATION AND NURSING CENTER,,LAKE POINTE REHABILITATION AND NURSING CENTER,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAKE POINTE REHABILITATION AND NURSING CENTER,100,True
Saybrook Landing,SAYBROOK LANDING,,SAYBROOK LANDING,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAYBROOK LANDING,100,True
The Villa at the Lake,THE VILLA AT THE LAKE,,,20201104,OH,ASHTABULA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENEVA VILLAGE RETIREMENT COMMUNITY,50,False
Hickory Creek of Athens,HICKORY CREEK OF ATHENS,,HICKORY CREEK OF ATHENS,20201104,OH,ATHENS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HICKORY CREEK OF ATHENS,100,True
Kimes Nursing and Rehab,KIMES NURSING AND REHABILITATION CENTER,x,KIMES NURSING AND REHABILITATION CENTER,20201104,OH,ATHENS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIMES NURSING AND REHABILITATION CENTER,100,True
The Laurels of Athens,LAURELS OF ATHENS,x,LAURELS OF ATHENS,20201104,OH,ATHENS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF ATHENS,100,True
Cridersville Healthcare Center,CRIDERSVILLE HEALTHCARE CENTER,,CRIDERSVILLE HEALTHCARE CENTER,20201104,OH,AUGLAIZE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRIDERSVILLE HEALTHCARE CENTER,100,True
Elmwood Assisted Living,ELMWOOD ASSISTED LIVING,,,20201104,OH,AUGLAIZE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE CENTER FOR REHABILITATION AND SPECIALITY CARE,35,False
Grande Lake Healthcare,GRANDE LAKE HEALTHCARE CENTER,x,GRANDE LAKE HEALTHCARE CENTER,20201104,OH,AUGLAIZE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRANDE LAKE HEALTHCARE CENTER,100,True
Heritage Center,HERITAGE CENTER FOR REHABILITATION AND SPECIALITY CARE,,HERITAGE CENTER FOR REHABILITATION AND SPECIALITY CARE,20201104,OH,AUGLAIZE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE CENTER FOR REHABILITATION AND SPECIALITY CARE,100,True
Otterbein Cridersville,OTTERBEIN CRIDERSVILLE,,OTTERBEIN CRIDERSVILLE,20201104,OH,AUGLAIZE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTERBEIN CRIDERSVILLE,100,True
Otterbein St Mary's,OTTERBEIN ST MARY'S,,OTTERBEIN ST MARY'S,20201104,OH,AUGLAIZE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTTERBEIN ST MARY'S,100,True
The Acres of Wapakoneta,THE ACRES OF WAPAKONETA,,,20201104,OH,AUGLAIZE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUGLAIZE ACRES,86,False
Vancrest,VANCREST OF ST MARY'S,,VANCREST OF ST MARY'S,20201104,OH,AUGLAIZE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VANCREST OF ST MARY'S,100,True
Wapakoneta Manor,WAPAKONETA MANOR,,WAPAKONETA MANOR,20201104,OH,AUGLAIZE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAPAKONETA MANOR,100,True
Acuity,ACUITY,,,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROLLING HILLS REHABILITATION AND CARE CENTER,45,False
Airport Road Homes,AIRPORT ROAD HOMES,,,20201104,OH,BELMONT,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST OHIO REGIONAL HOSPITAL LONG TERM CARE,50,False
Airport Road Homes individual ICFs,AIRPORT ROAD HOMES INDIVIDUAL ICFS,,,20201022,OH,BELMONT,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST OHIO REGIONAL HOSPITAL LONG TERM CARE,42,False
Astoria Place,ASTORIA PLACE OF BARNESVILLE,,ASTORIA PLACE OF BARNESVILLE,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTORIA PLACE OF BARNESVILLE,100,True
Belmont Manor,BELMONT MANOR,,BELMONT MANOR,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BELMONT MANOR,100,True
Cumberland Pointe,CUMBERLAND POINTE CARE CENTER,,CUMBERLAND POINTE CARE CENTER,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUMBERLAND POINTE CARE CENTER,100,True
Emerald Pointe,EMERALD POINTE HEALTH AND REHABILITATION CENTER,x,EMERALD POINTE HEALTH AND REHABILITATION CENTER,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMERALD POINTE HEALTH AND REHABILITATION CENTER,100,True
John Avenue,JOHN AVENUE,,,20201104,OH,BELMONT,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARK HEALTH CENTER,40,False
Mount Hope 2,MOUNT HOPE 2,,,20201104,OH,BELMONT,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST OHIO REGIONAL HOSPITAL LONG TERM CARE,45,False
Park Health,PARK HEALTH CENTER,,PARK HEALTH CENTER,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARK HEALTH CENTER,100,True
Rolling Hills,ROLLING HILLS REHABILITATION AND CARE CENTER,,ROLLING HILLS REHABILITATION AND CARE CENTER,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROLLING HILLS REHABILITATION AND CARE CENTER,100,True
Shadyside Care Center,SHADYSIDE CARE CENTER,,,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTINUING HEALTHCARE OF SHADYSIDE,86,False
Sienna Hills,SIENNA HILLS SKILLED NURSING AND REHABILITATION,x,SIENNA HILLS SKILLED NURSING AND REHABILITATION,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIENNA HILLS SKILLED NURSING AND REHABILITATION,100,True
WIley Avenue ICF,WILEY AVENUE ICF,,,20201022,OH,BELMONT,,Intermediate Care Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTRY CLUB RETIREMENT CENTER IV,40,False
Walton Home,WALTON HOME,,,20201104,OH,BELMONT,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTINUING HEALTHCARE AT FOREST HILL,40,False
Wiley Avenue ICF,WILEY AVENUE ICF,,,20201104,OH,BELMONT,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COUNTRY CLUB RETIREMENT CENTER IV,40,False
Locust Ridge,LOCUST RIDGE HEALTHCARE,,LOCUST RIDGE HEALTHCARE,20201104,OH,BROWN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCUST RIDGE HEALTHCARE,100,True
Ohio Valley Manor,OHIO VALLEY MANOR NURSING AND REHABILITATION,,OHIO VALLEY MANOR NURSING AND REHABILITATION,20201104,OH,BROWN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHIO VALLEY MANOR NURSING AND REHABILITATION,100,True
Ohio Veterans Home,OHIO VETERANS HOME,,OHIO VETERANS HOME,20201104,OH,BROWN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHIO VETERANS HOME - GEORGETOWN,90,False
Villa Georgetown,VILLA GEORGETOWN REHABILITATION AND HEALTHCARE CENTER,,VILLA GEORGETOWN REHABILITATION AND HEALTHCARE CENTER,20201104,OH,BROWN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VILLA GEORGETOWN REHABILITATION AND HEALTHCARE CENTER,100,True
ARLINGTON POINT,ARLINGTON POINTE,x,ARLINGTON POINTE,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARLINGTON POINTE,100,True
Barrington,BARRINGTON,,,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESIDENCE AT HUNTINGTON COURT,54,False
Bickford Senior Living Middletown,BICKFORD SENIOR LIVING MIDDLETOWN,,,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOW KNOLL POST-ACUTE AND SENIOR LIVING,56,False
Birchwood-Hillandale,BIRCHWOOD-HILLANDALE,x,BIRCHWOOD-HILLANDALE,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIRCHWOOD-HILLANDALE,100,True
Chesterwood-Ashley Place,CHESTERWOOD-ASHLEY PLACE,,CHESTERWOOD-ASHLEY PLACE,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHESTERWOOD-ASHLEY PLACE,100,True
Doverwood-Ashley Place,DOVERWOOD-ASHLEY PLACE,,,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIVERSICARE OF BRADFORD PLACE,51,False
Fairfield Pavilion AKA Majestic Care of Fairfield,FAIRFIELD PAVILION AKA MAJESTIC CARE OF FAIRFIELD,,,20201022,OH,BUTLER,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUTLER COUNTY CARE FACILITY,86,False
Fairfield Pavilion aka Majestic Care of Fairfield,FAIRFIELD PAVILION AKA MAJESTIC CARE OF FAIRFIELD,,,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUTLER COUNTY CARE FACILITY,86,False
Fairfield Place,FAIRFIELD PLACE,,,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DIVERSICARE OF BRADFORD PLACE,86,False
Glen Meadows,GLEN MEADOWS,,GLEN MEADOWS,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLEN MEADOWS,100,True
Golden Years,GOLDEN YEARS NURSING CENTER,,GOLDEN YEARS NURSING CENTER,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLDEN YEARS NURSING CENTER,100,True
Hawthorne Glen,HAWTHORN GLEN NURSING CENTER,,HAWTHORN GLEN NURSING CENTER,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAWTHORN GLEN NURSING CENTER,100,True
Heritagespring,HERITAGESPRING HEALTHCARE CENTER OF WEST CHESTER,,HERITAGESPRING HEALTHCARE CENTER OF WEST CHESTER,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGESPRING HEALTHCARE CENTER OF WEST CHESTER,100,True
Jackson Lane,JACKSON LANE,,,20201104,OH,BUTLER,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAMESTOWNE REHABILITATION,49,False
Knolls of Oxford,KNOLLS OF OXFORD,,KNOLLS OF OXFORD,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KNOLLS OF OXFORD,100,True
Legacy at Liberty Ridge,LEGACY AT LIBERTY RIDGE,,,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOODRIDGE HEALTHCARE,45,False
MAJESTIC CARE FKA Garden Manor,MAJESTIC CARE FKA GARDEN MANOR,,,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARDEN MANOR CARE CENTER,79,False
Ohio Living Mt Pleasant,OHIO LIVING MOUNT PLEASANT,,OHIO LIVING MOUNT PLEASANT,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OHIO LIVING MOUNT PLEASANT,100,True
Otterbein Middletown,OTTERBEIN MIDDLETOWN,,OTTERBEIN MIDDLETOWN,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE LAURELS OF MIDDLETOWN,67,False
Oxford Healthcare,OXFORD HEALTHCARE CENTER,,OXFORD HEALTHCARE CENTER,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OXFORD HEALTHCARE CENTER,100,True
Parkside,PARKSIDE NURSING AND REHABILITATION CENTER,,PARKSIDE NURSING AND REHABILITATION CENTER,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARKSIDE NURSING AND REHABILITATION CENTER,100,True
Story Point,STORY POINT,,,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WESTOVER RETIREMENT COMMUNITY,55,False
Takota Trails,TAKOTA TRAILS,,,20201104,OH,BUTLER,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAMESTOWNE REHABILITATION,49,False
TriCounty Extended Care AKA Majestic Care,TRICOUNTY EXTENDED CARE AKA MAJESTIC CARE,,,20201022,OH,BUTLER,,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUTLER COUNTY CARE FACILITY,86,False
TriCounty Extended Care aka Majestic Care,TRICOUNTY EXTENDED CARE AKA MAJESTIC CARE,,,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUTLER COUNTY CARE FACILITY,86,False
WOODLANDS,WOODLANDS HEALTH AND REHABILITATION CENTER,,WOODLANDS HEALTH AND REHABILITATION CENTER,20201104,OH,BUTLER,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GARDEN MANOR CARE CENTER,86,False
Willow Knoll Post Acute Care,WILLOW KNOLL POST-ACUTE AND SENIOR LIVING,x,WILLOW KNOLL POST-ACUTE AND SENIOR LIVING,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WILLOW KNOLL POST-ACUTE AND SENIOR LIVING,100,True
Woodland Country Manor,WOODLAND COUNTRY MANOR,,WOODLAND COUNTRY MANOR,20201104,OH,BUTLER,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOODLAND COUNTRY MANOR,100,True
