ReportingDate,Provider Name,County,TYPE,NEW RESIDENT CASES,TOTAL RESIDENT CASES,NEW RESIDENT DEATHS,TOTAL RESIDENT DEATHS,NEW STAFF CASES,TOTAL STAFF CASES,NEW STAFF DEATHS,TOTAL STAFF DEATHS,Reporting,VLOOKUP,Change Score
2020-11-09,WOODLAWN MEADOWS SUPPORTIVE CARE,BARRY,AFC,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Yes,THORNAPPLE MANOR,38
2020-11-09,"AUBURN FIELDS ASSISTED LIVING II, LLC",BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,HURON WOODS NURSING CENTER,41
2020-11-09,"AUBURN HEIGHTS SENIOR CARE, INC.",BAY,AFC,,0.0,,0.0,,1.0,,0.0,Yes,BAY SHORES SENIOR CARE AND REHAB CENTER,57
2020-11-09,"BAY CITY COMFORT CARE, LLC",BAY,HFA,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,BAY SHORES SENIOR CARE AND REHAB CENTER,86
2020-11-09,BAY COUNTY MEDICAL CARE FACILITY,BAY,SNF,0.0,3.0,1.0,3.0,5.0,27.0,0.0,0.0,Yes,BAY COUNTY MEDICAL CARE FACILITY,100
2020-11-09,BAY SHORES NURSING CARE CENTER,BAY,SNF,0.0,20.0,0.0,2.0,4.0,24.0,0.0,0.0,Yes,BAY SHORES SENIOR CARE AND REHAB CENTER,81
2020-11-09,BAY VALLEY AFC INC.,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,BAY COUNTY MEDICAL CARE FACILITY,86
2020-11-09,BAYFIELD ASSISTED LIVING,BAY,HFA,0.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,Yes,CARETEL INNS OF TRI-CITIES,40
2020-11-09,BROOKDALE BAY CITY AL (MI),BAY,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,BAY SHORES SENIOR CARE AND REHAB CENTER,86
2020-11-09,BROOKDALE BAY CITY MC (MI),BAY,AFC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,BAY SHORES SENIOR CARE AND REHAB CENTER,86
2020-11-09,CARETEL INNS OF TRICITIES,BAY,SNF,0.0,19.0,0.0,4.0,0.0,17.0,0.0,0.0,Yes,CARETEL INNS OF TRI-CITIES,98
2020-11-09,CHARTER SENIOR LIVING AT BAY CITY 1,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,THE CARRIAGE HOUSE OF BAY CITY,55
2020-11-09,CHARTER SENIOR LIVING AT BAY CITY 2,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,THE CARRIAGE HOUSE OF BAY CITY,55
2020-11-09,CLOSE TO HOME ASSISTED LIVING HAMPTON,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,HEARTLAND HEALTH CARE CENTER-HAMPTON,49
2020-11-09,CLOSE TO HOME ASSISTED LIVING RIEGEL,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,CARETEL INNS OF TRI-CITIES,39
2020-11-09,CLOSE TO HOME ASSISTED LIVING RIEGEL II,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,CARETEL INNS OF TRI-CITIES,43
2020-11-09,COUNTRY SQUARE AFC,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,BAY COUNTY MEDICAL CARE FACILITY,52
2020-11-09,HEARTLAND HCC - HAMPTON,BAY,SNF,0.0,20.0,0.0,5.0,1.0,14.0,0.0,0.0,Yes,HEARTLAND HEALTH CARE CENTER-HAMPTON,86
2020-11-09,HURON WOODS NURSING CENTER,BAY,SNF,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,Yes,HURON WOODS NURSING CENTER,100
2020-11-09,LEIGHTON HOUSE INN BAY CITY,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,THE CARRIAGE HOUSE OF BAY CITY,67
2020-11-09,MONET HOUSE INN BAY CITY,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,BAY SHORES SENIOR CARE AND REHAB CENTER,86
2020-11-09,NEW HOPE BAY WEST,BAY,HFA,,0.0,,0.0,,0.0,,0.0,Yes,BAY COUNTY MEDICAL CARE FACILITY,86
2020-11-09,"NEW HOPE BAY, LLC",BAY,HFA,,0.0,,0.0,,3.0,,0.0,Yes,BAY COUNTY MEDICAL CARE FACILITY,86
2020-11-09,PLAINVIEW ASSISTED LIVING,BAY,AFC,,0.0,,0.0,,0.0,,0.0,Yes,CARETEL INNS OF TRI-CITIES,37
2020-11-09,RACHEL SOVEREIGN MEMORIAL HOME,BAY,HFA,,0.0,,0.0,,0.0,,0.0,Yes,CARETEL INNS OF TRI-CITIES,43
2020-11-09,SHEFFIELD BAY,BAY,HFA,,0.0,,0.0,,0.0,,0.0,Yes,BAY COUNTY MEDICAL CARE FACILITY,86
2020-11-09,THE CARRIAGE HOUSE OF BAY CITY,BAY,SNF,0.0,7.0,0.0,0.0,1.0,8.0,0.0,0.0,Yes,THE CARRIAGE HOUSE OF BAY CITY,100
2020-11-09,CRYSTAL VIEW AFC,BENZIE,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MAPLES BENZIE CO MEDICAL CARE,38
2020-11-09,MAPLES BENZIE CO MEDICAL CARE,BENZIE,SNF,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Yes,MAPLES BENZIE CO MEDICAL CARE,100
2020-11-09,PAUL OLIVER MEMORIAL HOSPITAL LTCU,BENZIE,SNF,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Yes,PAUL OLIVER MEMORIAL HOSPITAL LTCU,100
2020-11-09,BEACON HOME AT BEACON SPRINGS EAST,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,COVENTRY HOUSE INN,48
2020-11-09,BEACON HOME AT BEACON SPRINGS WEST,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,WEST WOODS OF BRIDGMAN,86
2020-11-09,BLESSED HOME AFC,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,"CHALET OF NILES, LLC",44
2020-11-09,BRENTWOOD AT NILES,BERRIEN,HFA,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,Yes,WEST WOODS OF NILES,70
2020-11-09,BRIDGMAN RETIREMENT HOME #2,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,WEST WOODS OF BRIDGMAN,51
2020-11-09,BUCHANAN MEADOWS LIVING CENTER #1,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,HALLMARK LIVING BENTON HARBOR,52
2020-11-09,BUCHANAN MEADOWS LIVING CENTER #2,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,HALLMARK LIVING BENTON HARBOR,52
2020-11-09,CARETEL INNS OF ROYALTON - BRISTOL,BERRIEN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"CHALET OF NILES, LLC",86
2020-11-09,CARETEL INNS OF ROYALTON ARLINGTON,BERRIEN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"CHALET OF NILES, LLC",86
2020-11-09,CARETEL INNS OF ROYALTON EATON,BERRIEN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"CHALET OF NILES, LLC",86
2020-11-09,CARETEL INNS OF ROYALTON  - DOVER,BERRIEN,AFC,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Yes,"CHALET OF NILES, LLC",86
2020-11-09,CHALET OF NILES-NURSING AND REHAB CENTER,BERRIEN,SNF,0.0,17.0,0.0,2.0,0.0,18.0,0.0,0.0,Yes,"CHALET OF NILES, LLC",86
2020-11-09,COVENTRY HOUSE INN,BERRIEN,SNF,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,Yes,COVENTRY HOUSE INN,100
2020-11-09,FOREST BEACH HOME INC,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,COVENTRY HOUSE INN,53
2020-11-09,FULLERTON HOUSE,BERRIEN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,COVENTRY HOUSE INN,52
2020-11-09,GOLDEN AGE MANOR,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,"ROYALTON MANOR, L L C",56
2020-11-09,GOLDEN SHORE,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,COVENTRY HOUSE INN,47
2020-11-09,HALLMARK LIVING--BENTON HARBOR,BERRIEN,SNF,0.0,40.0,0.0,18.0,0.0,16.0,0.0,0.0,Yes,HALLMARK LIVING BENTON HARBOR,98
2020-11-09,HARVEST HOME,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,COVENTRY HOUSE INN,52
2020-11-09,PINE RIDGE - A REHAB & NURSING CENTER,BERRIEN,SNF,0.0,23.0,1.0,12.0,1.0,26.0,0.0,0.0,Yes,PINE RIDGE - A REHABILITATION AND NURSING CENTER,86
2020-11-09,RIVERIDGE REHAB. AND HEALTH CENTER,BERRIEN,SNF,5.0,15.0,0.0,2.0,2.0,17.0,0.0,0.0,Yes,RIVERIDGE REHABILITATION & HEALTHCARE CENTER,79
2020-11-09,ROYALTON MANOR,BERRIEN,SNF,1.0,3.0,0.0,1.0,1.0,13.0,0.0,0.0,Yes,"ROYALTON MANOR, L L C",90
2020-11-09,SERENITY SHORE ASSISTED LIVING FACILITY,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,COVENTRY HOUSE INN,50
2020-11-09,THE WILLOWS ASSISTED LIVING #1,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,HALLMARK LIVING BENTON HARBOR,44
2020-11-09,THE WILLOWS ASSISTED LIVING #2,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,HALLMARK LIVING BENTON HARBOR,44
2020-11-09,THE WILLOWS ASSISTED LIVING #3,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,HALLMARK LIVING BENTON HARBOR,44
2020-11-09,THE WILLOWS ASSISTED LIVING #4,BERRIEN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,HALLMARK LIVING BENTON HARBOR,44
2020-11-09,WEST WOODS OF BRIDGMAN,BERRIEN,SNF,1.0,41.0,7.0,11.0,5.0,17.0,0.0,0.0,Yes,WEST WOODS OF BRIDGMAN,100
2020-11-09,WEST WOODS OF NILES,BERRIEN,SNF,0.0,81.0,0.0,20.0,1.0,42.0,0.0,0.0,Yes,WEST WOODS OF NILES,100
2020-11-09,WOODLAND TERRACE - DOGWOOD COURT,BERRIEN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,WEST WOODS OF BRIDGMAN,40
2020-11-09,WOODLAND TERRACE - MAGNOLIA COURT,BERRIEN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"ROYALTON MANOR, L L C",43
2020-11-09,WOODLAND TERRACE AT LONGMEADOW,BERRIEN,HFA,0.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0,Yes,"ROYALTON MANOR, L L C",40
2020-11-09,WOODLAND TERRACE OF PAW PAW LAKE,BERRIEN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"CHALET OF NILES, LLC",86
2020-11-09,WOODLAND TERRACE  - LILAC COURT,BERRIEN,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"ROYALTON MANOR, L L C",42
2020-11-09,DREWS PLACE OF COLDWATER,BRANCH,AFC,,0.0,,0.0,,0.0,,0.0,Yes,"LAURELS OF COLDWATER,THE",71
2020-11-09,DREWS PLACE OF COLDWATER II,BRANCH,AFC,,0.0,,0.0,,0.0,,0.0,Yes,"LAURELS OF COLDWATER,THE",67
2020-11-09,GRAND VISTA,BRANCH,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MAPLE LAWN MEDICAL CARE FACILI,40
2020-11-09,LAURELS OF COLDWATER,BRANCH,SNF,6.0,13.0,0.0,0.0,3.0,10.0,0.0,0.0,Yes,"LAURELS OF COLDWATER,THE",95
2020-11-09,MAPLE LAWN MEDICAL CARE FACILITY,BRANCH,SNF,0.0,2.0,0.0,0.0,3.0,16.0,0.0,0.0,Yes,MAPLE LAWN MEDICAL CARE FACILI,97
2020-11-09,MASONVILLE PLACE,BRANCH,HFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,MAPLE LAWN MEDICAL CARE FACILI,45
2020-11-09,WESTBROOK HOME,BRANCH,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,"LAURELS OF COLDWATER,THE",39
2020-11-09,ADVANTAGE LIVING CENTER - BATTLE CREEK,CALHOUN,SNF,0.0,20.0,0.0,5.0,1.0,14.0,0.0,0.0,Yes,ADVANTAGE LIVING CENTER - BATTLE CREEK,100
2020-11-09,BATTLE CREEK BICKFORD COTTAGE,CALHOUN,HFA,,0.0,,0.0,,0.0,,0.0,Yes,ADVANTAGE LIVING CENTER - BATTLE CREEK,56
2020-11-09,BROOKDALE BATTLE CREEK AL (MI),CALHOUN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,ADVANTAGE LIVING CENTER - BATTLE CREEK,57
2020-11-09,BROOKDALE BATTLE CREEK MC (MI),CALHOUN,AFC,,1.0,,0.0,,1.0,,0.0,Yes,ADVANTAGE LIVING CENTER - BATTLE CREEK,59
2020-11-09,CALHOUN COUNTY MEDICAL CARE FACILITY,CALHOUN,SNF,0.0,45.0,0.0,9.0,1.0,43.0,0.0,0.0,Yes,CALHOUN COUNTY MEDICAL CARE FACILITY,100
2020-11-09,CARE COMMUNITY,CALHOUN,HFA,,0.0,,0.0,,0.0,,0.0,Yes,CALHOUN COUNTY MEDICAL CARE FACILITY,86
2020-11-09,EVERGREEN SENIOR CARE & REHAB CENTER,CALHOUN,SNF,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,Yes,EVERGREEN MANOR SENIOR CARE CE,78
2020-11-09,GRAND VISTA OF MARSHALL,CALHOUN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MARSHALL NURSING AND REHABILITATION COMMUNITY,86
2020-11-09,GRAND VISTA OF MARSHALL 2,CALHOUN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,MARSHALL NURSING AND REHABILITATION COMMUNITY,86
2020-11-09,HAVEN AFC,CALHOUN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,CALHOUN COUNTY MEDICAL CARE FACILITY,50
2020-11-09,HEARTLAND HCC - BATTLE CREEK,CALHOUN,SNF,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,Yes,HEARTLAND HEALTH CARE CENTER-BATTLE CREEK,87
2020-11-09,INFINITY AFC,CALHOUN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,CALHOUN COUNTY MEDICAL CARE FACILITY,43
2020-11-09,KAMBLY LIVING CENTER EAST,CALHOUN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,ADVANTAGE LIVING CENTER - BATTLE CREEK,86
2020-11-09,KAMBLY LIVING CENTER WEST,CALHOUN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,ADVANTAGE LIVING CENTER - BATTLE CREEK,86
2020-11-09,LAKEVIEW ASSISTED LIVING HFA,CALHOUN,HFA,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,Yes,ADVANTAGE LIVING CENTER - BATTLE CREEK,45
2020-11-09,LAURELS OF BEDFORD,CALHOUN,SNF,0.0,18.0,0.0,5.0,1.0,11.0,0.0,0.0,Yes,LAURELS OF BEDFORD (THE),95
2020-11-09,MARSHALL NURSING & REHAB COMMUNITY,CALHOUN,SNF,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Yes,MARSHALL NURSING AND REHABILITATION COMMUNITY,86
2020-11-09,MEDILODGE OF MARSHALL,CALHOUN,SNF,12.0,43.0,5.0,8.0,2.0,14.0,0.0,0.0,Yes,MEDILODGE OF MARSHALL,100
2020-11-09,NORTHPOINTE WOODS ASSISTED LIVING,CALHOUN,HFA,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,Yes,THE OAKS AT NORTHPOINTE WOODS,70
2020-11-09,PARKVIEW RESIDENCE,CALHOUN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,EVERGREEN MANOR SENIOR CARE CE,38
2020-11-09,PENNFIELD PREMIER LIVING NORTH,CALHOUN,AFC,,0.0,,0.0,,0.0,,0.0,Yes,ADVANTAGE LIVING CENTER - BATTLE CREEK,49
2020-11-09,THE HERITAGE ASSISTED LIVING COMMUNITY,CALHOUN,HFA,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Yes,LAURELS OF BEDFORD (THE),86
2020-11-09,THE LEGACY AT THE OAKS,CALHOUN,HFA,,0.0,,0.0,,0.0,,0.0,Yes,THE OAKS AT NORTHPOINTE WOODS,72
2020-11-09,THE OAKS AT NORTHPOINTE WOODS,CALHOUN,SNF,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,Yes,THE OAKS AT NORTHPOINTE WOODS,100
2020-11-09,THE REFLECTIONS,CALHOUN,HFA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes,LAURELS OF BEDFORD (THE),86
2020-11-09,CASS COUNTY MEDICAL CARE FACILITY,CASS,SNF,0.0,40.0,0.0,11.0,0.0,30.0,0.0,0.0,Yes,CASS COUNTY MEDICAL CARE FACIL,95
2020-11-09,FOREST GLEN ASSISTED LIVING,CASS,AFC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,THE TIMBERS OF CASS COUNTY,36
2020-11-09,THE TIMBERS OF CASS COUNTY,CASS,SNF,1.0,1.0,0.0,0.0,3.0,15.0,0.0,0.0,Yes,THE TIMBERS OF CASS COUNTY,100
2020-11-09,BOULDER PARK TERRACE,CHARLEVOIX,SNF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,BOULDER PARK TERRACE,100
2020-11-09,GRANDVUE MEDICAL CARE FACILITY,CHARLEVOIX,SNF,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,Yes,GRANDVUE MEDICAL CARE FACILITY,100
2020-11-09,MEDILODGE OF CHEBOYGAN,CHEBOYGAN,SNF,34.0,42.0,2.0,2.0,11.0,17.0,0.0,0.0,Yes,MEDILODGE OF CHEBOYGAN,100
2020-11-09,CHIPPEWA COUNTY WAR MEM HOSP LTCU,CHIPPEWA,SNF,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Yes,CHIPPEWA COUNTY WAR MEM HOSP LTCU,100
2020-11-09,HEARTHSIDE ASSISTED LIVING,CHIPPEWA,HFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,MEDILODGE OF SAULT STE MARIE,41
2020-11-09,MEDILODGE OF SAULT STE MARIE,CHIPPEWA,SNF,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Yes,MEDILODGE OF SAULT STE MARIE,100
