,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Reporting Interval
182558,2020-12-13,235295,LAKEVIEW EXTENDED CARE AND REHAB,210 SOUTH FIRST STREET,HARBOR BEACH,MI,48441,Y,Y,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,30.0,21.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,12.0,,0.0,5.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,0.0,0.0,,Huron,N,N,POINT (-82.652527 43.842429),Week 30 - Dec 13
182747,2020-12-13,235284,MEDILODGE OF MIDLAND,4900 HEDGEWOOD DR,MIDLAND,MI,48640,Y,Y,0.0,0.0,0.0,2.0,,0.0,0.0,3.0,0.0,0.0,92.0,72.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,163.0,,0.0,11.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,27.8,0.0,0.0,Midland,N,N,POINT (-84.285279 43.642284),Week 30 - Dec 13
182829,2020-12-13,235310,PORTER HILLS HEALTH CENTER,3600 FULTON ST E,GRAND RAPIDS,MI,49546,Y,Y,2.0,15.0,7.0,24.0,,41.0,0.0,76.0,0.0,2.0,81.0,54.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,100.0,18.0,,0.0,77.0,0.0,18.0,0.0,0.0,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,129.6,0.0,444.4,37.0,8.3,Kent,Y,N,POINT (-85.580265 42.962238),Week 30 - Dec 13
182934,2020-12-13,235252,LOURDES REHABILITATION AND HEALTHCARE CENTER,2300 WATKINS LAKE RD,WATERFORD,MI,48328,Y,Y,2.0,4.0,2.0,18.0,,7.0,2.0,32.0,0.0,2.0,100.0,73.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,77.0,,2.0,30.0,0.0,29.0,0.0,0.0,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,27.4,0.0,246.6,27.4,11.1,Oakland,N,N,POINT (-83.357184 42.67307400000001),Week 30 - Dec 13
183076,2020-12-13,235354,GRACE HEALTHCARE OF THREE RIVERS,55378 WILBUR RD,THREE RIVERS,MI,49093,Y,Y,0.0,5.0,0.0,47.0,,34.0,1.0,28.0,0.0,13.0,87.0,48.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,2.0,,0.0,36.0,0.0,47.0,0.0,1.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,979.2,270.8,27.7,St. Joseph,N,N,POINT (-85.635399 41.992801),Week 30 - Dec 13
183104,2020-12-13,235150,"HEALTHSOURCE SAGINAW, INC",3340 HOSPITAL RD,SAGINAW,MI,48603,Y,Y,0.0,0.0,3.0,115.0,,52.0,3.0,58.0,2.0,16.0,213.0,142.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,5.0,121.0,0.0,65.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,21.1,14.1,809.9,112.7,13.9,Saginaw,Y,N,POINT (-84.052048 43.456418000000006),Week 30 - Dec 13
183115,2020-12-13,235299,LAURELS OF BEDFORD (THE),270 N BEDFORD RD,BATTLE CREEK,MI,49017,Y,Y,0.0,0.0,23.0,27.0,,0.0,0.0,6.0,0.0,2.0,,96.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,15.0,1.0,,7.0,17.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,239.6,0.0,281.3,20.8,7.4,Calhoun,Y,N,POINT (-85.229916 42.352794),Week 30 - Dec 13
183202,2020-12-13,235236,BURCHAM HILLS RETIREMENT CTR,2700 BURCHAM DRIVE,EAST LANSING,MI,48823,Y,Y,2.0,33.0,6.0,48.0,,22.0,2.0,84.0,1.0,10.0,133.0,89.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,8.0,82.0,0.0,41.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,67.4,11.2,539.3,112.4,20.8,Ingham,Y,N,POINT (-84.448976 42.740706),Week 30 - Dec 13
183210,2020-12-13,235041,MACKINAC STRAITS LONG TERM CARE UNIT,1140 NORTH STATE STREET,SAINT IGNACE,MI,49781,Y,Y,0.0,2.0,0.0,0.0,,1.0,0.0,15.0,0.0,0.0,48.0,47.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,4.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,0.0,0.0,,Mackinac,N,N,POINT (-84.727569 45.891024),Week 30 - Dec 13
183299,2020-12-13,235005,MAPLES BENZIE CO MEDICAL CARE,210 MAPLE ST,FRANKFORT,MI,49635,Y,Y,0.0,2.0,5.0,24.0,,0.0,2.0,34.0,2.0,4.0,78.0,66.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,40.0,126.0,,4.0,27.0,0.0,5.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,75.8,30.3,363.6,60.6,16.7,Benzie,Y,N,POINT (-85.537705 44.582904),Week 30 - Dec 13
183303,2020-12-13,235006,MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL LTCU,825 N CENTER ST,GAYLORD,MI,49735,Y,Y,0.0,0.0,7.0,14.0,,0.0,0.0,64.0,0.0,0.0,34.0,21.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,10.0,57.0,,1.0,7.0,0.0,2.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,333.3,0.0,666.7,0.0,0.0,Otsego,Y,N,POINT (-84.67388700000001 45.035332),Week 30 - Dec 13
183320,2020-12-13,235028,HURON CO MED CARE FACILITY,1116 S VAN DYKE RD,BAD AXE,MI,48413,Y,Y,0.0,1.0,1.0,8.0,,5.0,0.0,10.0,0.0,0.0,112.0,83.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,8.0,3.0,,2.0,16.0,0.0,52.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,12.0,0.0,96.4,0.0,0.0,Huron,N,N,POINT (-83.032409 43.802343),Week 30 - Dec 13
183355,2020-12-13,235257,IRON CO MEDICAL CARE FACILITY,1523 U S HIGHWAY 2,CRYSTAL FALLS,MI,49920,Y,Y,0.0,2.0,0.0,60.0,,64.0,0.0,106.0,0.0,18.0,200.0,124.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,5.0,,1.0,66.0,0.0,175.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,483.9,145.2,30.0,Iron,N,N,POINT (-88.373897 46.094001),Week 30 - Dec 13
183410,2020-12-13,235067,PLEASANT VIEW SHIAWASSEE COUNTY MED CARE FAC,275 CALEDONIA DRIVE,OWOSSO,MI,48867,Y,Y,0.0,5.0,0.0,25.0,,13.0,0.0,67.0,0.0,1.0,136.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.0,0.0,25.0,0.0,0.0,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,210.1,8.4,4.0,Shiawassee,,,POINT (-84.125816 42.999193),Week 30 - Dec 13
183452,2020-12-13,235289,BORGESS GARDENS,3057 GULL ROAD,KALAMAZOO,MI,49048,Y,Y,0.0,0.0,2.0,3.0,,11.0,1.0,14.0,0.0,1.0,101.0,66.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,27.0,0.0,5.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,30.3,0.0,45.5,15.2,33.3,Kalamazoo,N,N,POINT (-85.541602 42.314055),Week 30 - Dec 13
183477,2020-12-13,235094,SAMARITAS SENIOR LIVING CADILLAC,460 PEARL ST,CADILLAC,MI,49601,Y,Y,0.0,0.0,2.0,11.0,,0.0,0.0,24.0,0.0,0.0,131.0,78.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,80.0,228.0,,0.0,15.0,0.0,1.0,0.0,0.0,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,25.6,0.0,141.0,0.0,0.0,Wexford,N,N,POINT (-85.40350200000002 44.23737),Week 30 - Dec 13
183599,2020-12-13,235280,MEDILODGE OF ALPENA,301 LONG RAPIDS RD,ALPENA,MI,49707,Y,Y,0.0,5.0,3.0,69.0,,0.0,0.0,33.0,0.0,9.0,132.0,100.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,120.0,,0.0,73.0,0.0,10.0,0.0,0.0,N,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,N,,,,,30.0,0.0,690.0,90.0,13.0,Alpena,Y,N,POINT (-83.462321 45.077361),Week 30 - Dec 13
183613,2020-12-13,235379,MEDILODGE OF TAWAS CITY,400 NORTH STREET WEST,TAWAS CITY,MI,48763,Y,Y,2.0,5.0,10.0,14.0,,0.0,1.0,15.0,0.0,1.0,85.0,52.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,5.0,11.0,,4.0,13.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,,,,,192.3,0.0,269.2,19.2,7.1,Iosco,Y,N,POINT (-83.520777 44.272532),Week 30 - Dec 13
183690,2020-12-13,235333,"REGENCY, A VILLA CENTER",12575 S TELEGRAPH RD,TAYLOR,MI,48180,Y,N,17.0,159.0,1.0,29.0,,3.0,4.0,53.0,1.0,21.0,244.0,214.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,4.0,3.0,,2.0,14.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,4.7,4.7,135.5,98.1,72.4,Wayne,N,N,POINT (-83.268592 42.214091),Week 30 - Dec 13
183762,2020-12-13,235234,HERITAGE MANOR NURSING AND REHAB CENTER,9500 GRAND RIVER AVE,DETROIT,MI,48204,Y,Y,0.0,3.0,0.0,0.0,,0.0,0.0,3.0,0.0,2.0,122.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.0,0.0,2.0,0.0,0.0,,,,,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,0.0,0.0,0.0,18.7,,Wayne,,,POINT (-83.134 42.366698),Week 30 - Dec 13
183779,2020-12-13,235209,MEDILODGE OF LEELANAU,124 W 4TH STREET,SUTTONS BAY,MI,49682,Y,Y,0.0,0.0,0.0,0.0,,0.0,0.0,14.0,0.0,0.0,72.0,61.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,129.0,,1.0,4.0,0.0,5.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,0.0,0.0,,Leelanau,N,N,POINT (-85.653539 44.970882),Week 30 - Dec 13
183841,2020-12-13,235343,KITH HAVEN,G 1069 BALLENGER HWY,FLINT,MI,48504,Y,Y,0.0,4.0,0.0,18.0,,5.0,1.0,24.0,0.0,2.0,,96.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,4.0,136.0,,3.0,30.0,0.0,13.0,0.0,0.0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,187.5,20.8,11.1,Genesee,N,N,,Week 30 - Dec 13
183924,2020-12-13,235072,OAKVIEW MEDICAL CARE FACILITY,1000 DIANA ST,LUDINGTON,MI,49431,Y,Y,2.0,9.0,0.0,28.0,,51.0,1.0,34.0,0.0,8.0,96.0,65.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,89.0,15.0,,0.0,14.0,0.0,114.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,430.8,123.1,28.6,Mason,N,N,POINT (-86.4313 43.95773),Week 30 - Dec 13
184041,2020-12-13,235103,SKLD BELTLINE,2320 E BELTLINE SE,GRAND RAPIDS,MI,49546,Y,Y,0.0,30.0,1.0,11.0,,5.0,2.0,32.0,0.0,15.0,182.0,136.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,8.0,35.0,,4.0,42.0,0.0,12.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,7.4,0.0,80.9,110.3,136.4,Kent,N,N,POINT (-85.584051 42.921573),Week 30 - Dec 13
184126,2020-12-13,235009,THORNAPPLE MANOR,2700 NASHVILLE RD,HASTINGS,MI,49058,Y,Y,0.0,19.0,0.0,10.0,,19.0,0.0,34.0,0.0,1.0,161.0,138.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,16.0,,8.0,54.0,0.0,105.0,0.0,0.0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,72.5,7.2,10.0,Barry,N,N,POINT (-85.238878 42.615264),Week 30 - Dec 13
184160,2020-12-13,235016,ALLEGRA NURSING AND REHAB,434 W NORTH ST,JACKSON,MI,49202,Y,Y,0.0,0.0,0.0,15.0,,7.0,1.0,18.0,0.0,4.0,82.0,44.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,16.0,0.0,41.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,0.0,0.0,340.9,90.9,26.7,Jackson,N,N,POINT (-84.415419 42.258969),Week 30 - Dec 13
