Facility Name,Facility Name Normalized,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score
Briarwood Assisted Living,BRIARWOOD ASSISTED LIVING,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIFE CARE CENTER OF PLAINWELL,37
Briarwood Assisted Living,BRIARWOOD ASSISTED LIVING,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIFE CARE CENTER OF PLAINWELL,37
Country Liv - Inn Inc,COUNTRY LIV - INN,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,51
Country Liv - Inn Inc,COUNTRY LIV - INN,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,51
Ely Manor Nursing & Rehab,ELY MANOR NURSING AND REHABILITATION,ELY MANOR NURSING AND REHABILITATION,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELY MANOR NURSING AND REHABILITATION,100
Ely Manor Nursing & Rehab,ELY MANOR NURSING AND REHABILITATION,ELY MANOR NURSING AND REHABILITATION,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELY MANOR NURSING AND REHABILITATION,100
Golden Orchards I,GOLDEN ORCHARDS I,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,37
Golden Orchards I,GOLDEN ORCHARDS I,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,37
Golden Orchards II,GOLDEN ORCHARDS II,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELY MANOR NURSING AND REHABILITATION,40
Golden Orchards II,GOLDEN ORCHARDS II,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELY MANOR NURSING AND REHABILITATION,40
Grace of Douglas,GRACE OF DOUGLAS,GRACE OF DOUGLAS,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,100
Grace of Douglas,GRACE OF DOUGLAS,GRACE OF DOUGLAS,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,100
Green Acres of Wayland,GREEN ACRES OF WAYLAND,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,58
Green Acres of Wayland,GREEN ACRES OF WAYLAND,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,58
Green Acres of Wayland II,GREEN ACRES OF WAYLAND II,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,86
Green Acres of Wayland II,GREEN ACRES OF WAYLAND II,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,86
Harbors Health Facility,HARBORS HEALTH FACILITY,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELY MANOR NURSING AND REHABILITATION,43
Harbors Health Facility,HARBORS HEALTH FACILITY,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELY MANOR NURSING AND REHABILITATION,43
LakeSide Vista Amsterdam Haus,LAKESIDE VISTA AMSTERDAM HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIFE CARE CENTER OF PLAINWELL,38
LakeSide Vista Amsterdam Haus,LAKESIDE VISTA AMSTERDAM HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIFE CARE CENTER OF PLAINWELL,38
LakeSide Vista Delph Haus,LAKESIDE VISTA DELPH HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELY MANOR NURSING AND REHABILITATION,41
LakeSide Vista Delph Haus,LAKESIDE VISTA DELPH HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELY MANOR NURSING AND REHABILITATION,41
LakeSide Vista Friesland Haus,LAKESIDE VISTA FRIESLAND HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,43
LakeSide Vista Friesland Haus,LAKESIDE VISTA FRIESLAND HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,43
LakeSide Vista Rotterdam Haus,LAKESIDE VISTA ROTTERDAM HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,39
LakeSide Vista Rotterdam Haus,LAKESIDE VISTA ROTTERDAM HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,39
LakeSide Vista Zeeland Haus,LAKESIDE VISTA ZEELAND HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,41
LakeSide Vista Zeeland Haus,LAKESIDE VISTA ZEELAND HAUS,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,41
Laurels of Sandy Creek,LAURELS OF SANDY CREEK,LAURELS OF SANDY CREEK,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,100
Laurels of Sandy Creek,LAURELS OF SANDY CREEK,LAURELS OF SANDY CREEK,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,100
Life Care Center of Plainwell ,LIFE CARE CENTER OF PLAINWELL ,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIFE CARE CENTER OF PLAINWELL,100
Life Care Center of Plainwell ,LIFE CARE CENTER OF PLAINWELL ,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIFE CARE CENTER OF PLAINWELL,100
Maplewood of Sandy Creek,MAPLEWOOD OF SANDY CREEK,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,86
Maplewood of Sandy Creek,MAPLEWOOD OF SANDY CREEK,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,86
Resthaven Care Center,RESTHAVEN CARE CENTER,RESTHAVEN CARE CENTER,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTHAVEN CARE CENTER,100
Resthaven Care Center,RESTHAVEN CARE CENTER,RESTHAVEN CARE CENTER,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTHAVEN CARE CENTER,100
Serenity Homes East,SERENITY HOMES EAST,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,42
Serenity Homes East,SERENITY HOMES EAST,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,42
Serenity Homes West,SERENITY HOMES WEST,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTHAVEN CARE CENTER,43
Serenity Homes West,SERENITY HOMES WEST,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTHAVEN CARE CENTER,43
Stanford Lodge,STANFORD LODGE,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,43
Stanford Lodge,STANFORD LODGE,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAURELS OF SANDY CREEK,43
Vicinia Gardens of Otsego,VICINIA GARDENS OF OTSEGO,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,86
Vicinia Gardens of Otsego,VICINIA GARDENS OF OTSEGO,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRACE OF DOUGLAS,86
William Crispe Community House,WILLIAM CRISPE COMMUNITY HOUSE,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,54
William Crispe Community House,WILLIAM CRISPE COMMUNITY HOUSE,,20201112,MI,ALLEGAN,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALLEGAN COUNTY MEDICAL CARE COMMUNITY,54
Besser Senior Living Community,BESSER SENIOR LIVING COMMUNITY,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF ALPENA,33
Besser Senior Living Community,BESSER SENIOR LIVING COMMUNITY,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF ALPENA,33
Medilodge Alpena,MEDILODGE OF ALPENA,MEDILODGE OF ALPENA,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF ALPENA,100
Medilodge Alpena,MEDILODGE OF ALPENA,MEDILODGE OF ALPENA,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF ALPENA,100
Medilodge of Greenview,MEDILODGE OF GREENVIEW,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,98
Medilodge of Greenview,MEDILODGE OF GREENVIEW,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,98
Sally's Care Home I,SALLY'S CARE HOME I,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,38
Sally's Care Home I,SALLY'S CARE HOME I,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,38
Turning Brook,TURNING BROOK,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,28
Turning Brook,TURNING BROOK,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,28
Turning Brook II,TURNING BROOK II,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,31
Turning Brook II,TURNING BROOK II,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,31
Turning Brook III,TURNING BROOK III,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,30
Turning Brook III,TURNING BROOK III,,20201112,MI,ALPENA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF GREEN VIEW,30
Eastport Village Care Home,EASTPORT VILLAGE CARE HOME,,20201112,MI,ANTRIM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOW BROOK MEDICAL CARE FACILITY,43
Eastport Village Care Home,EASTPORT VILLAGE CARE HOME,,20201112,MI,ANTRIM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOW BROOK MEDICAL CARE FACILITY,43
Meadow Brook MCF,MEADOW BROOK MEDICAL CARE FACILITY,MEADOW BROOK MEDICAL CARE FACILITY,20201112,MI,ANTRIM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOW BROOK MEDICAL CARE FACILITY,100
Meadow Brook MCF,MEADOW BROOK MEDICAL CARE FACILITY,MEADOW BROOK MEDICAL CARE FACILITY,20201112,MI,ANTRIM,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEADOW BROOK MEDICAL CARE FACILITY,100
Ascension Standish Hospital & SNF,ASCENSION STANDISH HOSPITAL AND SNF,ASCENSION STANDISH HOSPITAL AND SNF,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASCENSION STANDISH HOSPITAL AND SNF,100
Ascension Standish Hospital & SNF,ASCENSION STANDISH HOSPITAL AND SNF,ASCENSION STANDISH HOSPITAL AND SNF,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASCENSION STANDISH HOSPITAL AND SNF,100
Augres Care Center,AUGRES CARE CENTER,,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,36
Augres Care Center,AUGRES CARE CENTER,,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,36
Eden Fields Assisted Living,EDEN FIELDS ASSISTED LIVING,,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,54
Eden Fields Assisted Living,EDEN FIELDS ASSISTED LIVING,,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,54
Eden Fields  Memory Care,EDEN FIELDS  MEMORY CARE,,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,40
Eden Fields  Memory Care,EDEN FIELDS  MEMORY CARE,,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,40
Medilodge of Sterling,MEDILODGE OF STERLING,MEDILODGE OF STERLING,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,100
Medilodge of Sterling,MEDILODGE OF STERLING,MEDILODGE OF STERLING,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,100
The Horizon Senior Living IV,THE HORIZON SENIOR LIVING IV,,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,45
The Horizon Senior Living IV,THE HORIZON SENIOR LIVING IV,,20201112,MI,ARENAC,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEDILODGE OF STERLING,45
Bayside Village,BAYSIDE VILLAGE,BAYSIDE VILLAGE,20201112,MI,BARAGA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAYSIDE VILLAGE,100
Bayside Village,BAYSIDE VILLAGE,BAYSIDE VILLAGE,20201112,MI,BARAGA,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAYSIDE VILLAGE,100
AC Flower House LLC,AC FLOWER HOUSE,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,43
AC Flower House LLC,AC FLOWER HOUSE,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,43
Carveth Village of Middleville,CARVETH VILLAGE OF MIDDLEVILLE,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HASTINGS REHABILITATION AND HEALTHCARE CENTER,36
Carveth Village of Middleville,CARVETH VILLAGE OF MIDDLEVILLE,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HASTINGS REHABILITATION AND HEALTHCARE CENTER,36
Hastings Rehab and Healthcare Center,HASTINGS REHABILITATION AND HEALTHCARE CENTER,HASTINGS REHABILITATION AND HEALTHCARE CENTER,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HASTINGS REHABILITATION AND HEALTHCARE CENTER,100
Hastings Rehab and Healthcare Center,HASTINGS REHABILITATION AND HEALTHCARE CENTER,HASTINGS REHABILITATION AND HEALTHCARE CENTER,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HASTINGS REHABILITATION AND HEALTHCARE CENTER,100
Stoneridge AFC,STONERIDGE AFC,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,40
Stoneridge AFC,STONERIDGE AFC,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,40
Thornapple Manor,THORNAPPLE MANOR,THORNAPPLE MANOR,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,100
Thornapple Manor,THORNAPPLE MANOR,THORNAPPLE MANOR,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,100
Woodlawn Meadows Specialized Care,WOODLAWN MEADOWS SPECIALIZED CARE,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,37
Woodlawn Meadows Specialized Care,WOODLAWN MEADOWS SPECIALIZED CARE,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,37
Woodlawn Meadows Supportive Care,WOODLAWN MEADOWS SUPPORTIVE CARE,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,38
Woodlawn Meadows Supportive Care,WOODLAWN MEADOWS SUPPORTIVE CARE,,20201112,MI,BARRY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THORNAPPLE MANOR,38
Auburn Fields Assisted Living II,AUBURN FIELDS ASSISTED LIVING II,,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HURON WOODS NURSING CENTER,41
Auburn Fields Assisted Living II,AUBURN FIELDS ASSISTED LIVING II,,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HURON WOODS NURSING CENTER,41
Auburn Heights Senior Care,AUBURN HEIGHTS SENIOR CARE,,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAY SHORES NURSING CARE CENTER,48
Auburn Heights Senior Care,AUBURN HEIGHTS SENIOR CARE,,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAY SHORES NURSING CARE CENTER,48
Bay City Comfort Care,BAY CITY COMFORT CARE,,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAY COUNTY MEDICAL CARE FACILITY,86
Bay City Comfort Care,BAY CITY COMFORT CARE,,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAY COUNTY MEDICAL CARE FACILITY,86
Bay County Medical Care Facility,BAY COUNTY MEDICAL CARE FACILITY,BAY COUNTY MEDICAL CARE FACILITY,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAY COUNTY MEDICAL CARE FACILITY,100
Bay County Medical Care Facility,BAY COUNTY MEDICAL CARE FACILITY,BAY COUNTY MEDICAL CARE FACILITY,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAY COUNTY MEDICAL CARE FACILITY,100
Bay Shores Nursing Care Center,BAY SHORES NURSING CARE CENTER,BAY SHORES NURSING CARE CENTER,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAY SHORES NURSING CARE CENTER,100
Bay Shores Nursing Care Center,BAY SHORES NURSING CARE CENTER,BAY SHORES NURSING CARE CENTER,20201112,MI,BAY,,,Nursing Home,Federal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAY SHORES NURSING CARE CENTER,100
