,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Geolocation
20,05/31/2020,055581,JURUPA HILLS POST ACUTE,6401 33RD STREET.,RIVERSIDE,CA,92509.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-117.42284200000002 34.012328)
22,05/31/2020,055932,"FOUR SEASONS HEALTHCARE & WELLNESS CENTER, LP",5335 LAUREL CANYON BLVD.,NORTH HOLLYWOOD,CA,91607.0,N,,0.0,20.0,0.0,6.0,0.0,6.0,0.0,4.0,0.0,4.0,,,,,,,0.0,8.0,0.0,7.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,66.7,POINT (-118.39651 34.167743)
24,05/31/2020,056293,ALCOTT REHABILITATION HOSPITAL,3551 WEST OLYMPIC BLVD.,LOS ANGELES,CA,90019.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-118.31670100000001 34.052514)
25,05/31/2020,056315,CYPRESS GARDENS CARE CENTER,9025 COLORADO AVENUE,RIVERSIDE,CA,92503.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-117.447787 33.93787100000001)
26,05/31/2020,056367,COUNTRY VILLA SHERATON,9655 SEPULVEDA BOULEVARD,NORTH HILLS,CA,91343.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-118.46763400000002 34.246027)
28,05/31/2020,065321,ARVADA CARE AND REHABILITATION CENTER,6121 W 60TH AVE,ARVADA,CO,80003.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-105.06536 39.805531)
31,05/31/2020,075274,WESTERN REHABILITATION CARE CENTER,107 OSBORNE STREET,DANBURY,CT,6810.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.442173 41.403689)
32,05/31/2020,075312,WADSWORTH GLEN HEALTH CARE CEN,30 BOSTON RD,MIDDLETOWN,CT,6457.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-72.676519 41.554164)
33,05/31/2020,075326,EVERGREEN HEALTH CARE CENTER,205 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,6076.0,N,,0.0,3.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,11.1,
34,05/31/2020,075443,JOHN L. LEVITOW HEALTH CARE CENTER,287 WEST ST,ROCKY HILL,CT,6067.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-72.650091 41.653404)
36,05/31/2020,105258,SEAVIEW NURSING AND REHABILITATION CENTER,2401 NE 2ND STREET,POMPANO BEACH,FL,33062.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-80.099681 26.233635)
43,05/31/2020,105567,SPRINGS AT LAKE POINTE WOODS,3280 LAKE POINTE BLVD,SARASOTA,FL,34231.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-82.498839 27.24015)
44,05/31/2020,105627,"COURT AT PALM AIRE, THE",2701 N COURSE DR,POMPANO BEACH,FL,33069.0,N,,0.0,11.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,31.6,POINT (-80.160211 26.227412)
45,05/31/2020,105640,NORTH LAKE CARE CENTER,750 BAYBERRY DRIVE,LAKE PARK,FL,33403.0,N,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-80.068181 26.793938)
46,05/31/2020,105711,SINAI PLAZA NURSING & REHAB CENTER,201 NE 112TH STREET,MIAMI,FL,33161.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-80.193382 25.878028)
47,05/31/2020,105743,FLEET LANDING,ONE FLEET LANDING BLVD,ATLANTIC BEACH,FL,32233.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,05/31/2020,105961,SHANDS JACKSONVILLE MEDICAL CENTER,580 W 8TH STREET,JACKSONVILLE,FL,32209.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-81.662896 30.346417999999996)
51,05/31/2020,106022,BROOKDALE PALMER RANCH SNF,5111 PALMER RANCH PARKWAY,SARASOTA,FL,34238.0,N,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,1.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-82.467294 27.246163)
52,05/31/2020,106040,WESTMINSTER ST AUGUSTINE,230 TOWERVIEW DRIVE,SAINT AUGUSTINE,FL,32092.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-81.480016 29.986831)
54,05/31/2020,115206,SIGNATURE HEALTHCARE OF MARIETTA,811 KENNESAW AVENUE,MARIETTA,GA,30060.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,05/31/2020,115541,CROSSVIEW CARE CENTER,402 E. BAY ST,PINEVIEW,GA,31071.0,N,,0.0,9.0,0.0,42.0,0.0,0.0,0.0,11.0,0.0,10.0,,,,,,,0.0,28.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,23.8,
59,05/31/2020,115732,BOSTICK NURSING CENTER,1700 BOSTICK CIRCLE,MILLEDGEVILLE,GA,31061.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
60,05/31/2020,11A186,GEORGIA REGIONAL ATLANTA LTC,"3073 PANTHERSVILLE RD, SNF BLDG. #17",DECATUR,GA,30034.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-84.271981 33.694288)
61,05/31/2020,125042,OAHU CARE FACILITY,1808 SOUTH BERETANIA STREET,HONOLULU,HI,96826.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-157.831622 21.297395)
62,05/31/2020,125067,ISLANDS SKILLED NURSING & REHABILITATION,1205 ALEXANDER STREET,HONOLULU,HI,96826.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-157.831968 21.29772)
63,05/31/2020,135093,ASPEN PARK OF CASCADIA,420 ROWE STREET,MOSCOW,ID,83843.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,50.0,Y,Y,Y,N,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,POINT (-116.994253 46.721635000000006)
66,05/31/2020,145198,BELLA TERRA MORTON GROVE,8425 WAUKEGAN ROAD,MORTON GROVE,IL,60053.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.800359 42.034526)
67,05/31/2020,145358,ARISTA HEALTHCARE,1136 NORTH MILL STREET,NAPERVILLE,IL,60563.0,Y,Y,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,153.0,77.0,Y,Y,Y,N,0.0,1.0,1.0,4.0,0.0,0.0,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-88.154495 41.788917)
68,05/31/2020,145388,HELIA HEALTHCARE OF OLNEY,410 EAST MACK,OLNEY,IL,62450.0,Y,Y,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,118.0,77.0,Y,Y,Y,N,0.0,0.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-88.079877 38.745885)
69,05/31/2020,145424,LANDMARK OF RICHTON PARK REHAB & NSG CTR,22660 SOUTH CICERO AVENUE,RICHTON PARK,IL,60471.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,05/31/2020,145469,PARIS HEALTH CARE CENTER,1011 NORTH MAIN STREET,PARIS,IL,61944.0,N,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,11.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.694416 39.626423)
73,05/31/2020,145673,APOSTOLIC CHRISTIAN HOME OF EUREKA,610 CRUGER,EUREKA,IL,61530.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,05/31/2020,145778,MIDWAY NEUROLOGICAL / REHAB CENTER,8540 SOUTH HARLEM,BRIDGEVIEW,IL,60455.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.799224 41.735931)
79,05/31/2020,145942,OAK LAWN RESPIRATORY & REHAB,9525 SOUTH MAYFIELD,OAK LAWN,IL,60453.0,N,,0.0,8.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,3.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,37.5,
80,05/31/2020,145972,PRESENCE COR MARIAE CENTER,3330 MARIA LINDEN DRIVE,ROCKFORD,IL,61114.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-89.014256 42.307876)
81,05/31/2020,145995,SYMPHONY AT MIDWAY,4437 SOUTH CICERO,CHICAGO,IL,60632.0,N,,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,POINT (-87.743158 41.811916)
82,05/31/2020,146013,BERKELEY NURSING & REHAB CENTER,6909 WEST NORTH AVENUE,OAK PARK,IL,60302.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-87.79902 41.90894)
83,05/31/2020,146101,WILLOWS HEALTH CENTER,4054 ALBRIGHT LANE,ROCKFORD,IL,61103.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-89.094183 42.318372)
84,05/31/2020,146143,SYMPHONY OF HANOVER PARK,2000 WEST LAKE STREET,HANOVER PARK,IL,60133.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-88.154176 41.989232)
85,05/31/2020,14E212,FRANKFORT TERRACE,40 NORTH SMITH,FRANKFORT,IL,60423.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,05/31/2020,155041,NORTHWEST MANOR HEALTH CARE CENTER,6440 W 34TH ST,INDIANAPOLIS,IN,46224.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-86.273427 39.816171)
87,05/31/2020,155089,HERITAGE HOUSE OF NEW CASTLE,1023 N 20TH ST,NEW CASTLE,IN,47362.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-85.360732 39.942178)
92,05/31/2020,155726,RIVER TERRACE HEALTH CARE CENTER,400 CAYLOR BLVD,BLUFFTON,IN,46714.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-85.19359 40.777324)
95,05/31/2020,165151,MISSISSIPPI VALLEY,PO BOX 1270,KEOKUK,IA,52632.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0,74.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,30.0,0.0,Y,Y,0.0,0.0,,
96,05/31/2020,165178,AASE HAUGEN HOME,FOUR OHIO STREET,DECORAH,IA,52101.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,72.0,Y,Y,N,N,0.0,0.0,0.0,0.0,0.0,0.0,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,
99,05/31/2020,165499,BLACKHAWK LIFE CARE CENTER,73 WEST 5TH STREET,LAKE VIEW,IA,51450.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.058272 42.308099)
100,05/31/2020,165546,TABOR MANOR CARE CENTER,209 MAIN STREET,TABOR,IA,51653.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-95.671271 40.889601)
103,05/31/2020,175526,FOWLER RESIDENTIAL CARE,"401 E 6TH,  PO BOX 20",FOWLER,KS,67844.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,05/31/2020,17E580,PIONEER LODGE,"300 W 3RD,  PO BOX 487",COLDWATER,KS,67029.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,05/31/2020,185254,RIDGEWAY NURSING & REHABILITATION FACILITY,406 WYOMING ROAD,OWINGSVILLE,KY,40360.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-83.747541 38.151734)
109,05/31/2020,185332,GRAND HAVEN NURSING HOME,105 RODGERS PARK,CYNTHIANA,KY,41031.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-84.282898 38.393801)
111,05/31/2020,195420,NAOMI HEIGHTS NURSING & REHABILITATION CENTER,2421 E. TEXAS AVENUE,ALEXANDRIA,LA,71301.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-92.458963 31.283652)
114,05/31/2020,215126,BERLIN NURSING AND REHABILITATION CENTER,9715 HEALTHWAY DRIVE,BERLIN,MD,21811.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-75.210666 38.33701)
115,05/31/2020,215146,FT WASHINGTON HEALTH CENTER,12021 LIVINGSTON ROAD,FORT WASHINGTON,MD,20744.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-76.986781 38.722324)
116,05/31/2020,215215,AUTUMN LAKE HEALTHCARE AT ALICE MANOR,2095 ROCKROSE AVENUE,BALTIMORE,MD,21211.0,N,,0.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,,,,0.0,2.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-76.64924200000002 39.333612)
117,05/31/2020,215283,TRANSITIONAL CARE SERVICES AT MERCY MEDICAL CENTER,301 ST. PAUL PLACE,BALTIMORE,MD,21202.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-76.612918 39.293414)
118,05/31/2020,225216,FITCHBURG HEALTHCARE,1199 JOHN FITCH HWY,FITCHBURG,MA,1420.0,N,,0.0,4.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,10.0,,,,,,,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,166.7,POINT (-71.793725 42.599068)
119,05/31/2020,225514,SOUTH COVE MANOR NURSING & REHABILITATION CENTER,288 WASHINGTON STREET,QUINCY,MA,2169.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-70.99033 42.249351)
125,05/31/2020,235088,GRAND TRAVERSE PAVILIONS,1000 PAVILIONS CIRCLE,TRAVERSE CITY,MI,49684.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-85.641584 44.758732)
126,05/31/2020,235209,MEDILODGE OF LEELANAU,124 W 4TH STREET,SUTTONS BAY,MI,49682.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,72.0,48.0,Y,N,Y,N,0.0,0.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,POINT (-85.653539 44.970882)
128,05/31/2020,235378,RESTHAVEN CARE CENTER,280 W 40TH ST,HOLLAND,MI,49423.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-86.120488 42.761524)
129,05/31/2020,235433,GREENFIELD REHAB AND NURSING CENTER,3030 GREENFIELD AVE,ROYAL OAK,MI,48073.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-83.203458 42.511034)
130,05/31/2020,235527,ST JAMES NURSING CENTER,15063 GRATIOT AVE,DETROIT,MI,48205.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-82.971428 42.444532)
131,05/31/2020,235595,MISSION POINT NSG & PHYSICAL REHAB CTR OF DETROIT,2102 ORLEANS ST,DETROIT,MI,48207.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-83.03452 42.344518)
138,05/31/2020,245616,LIFECARE GREENBUSH MANOR,19120 200TH STREET,GREENBUSH,MN,56726.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-96.176666 48.691807)
139,05/31/2020,245634,AURORA ON FRANCE,6500 FRANCE AVENUE,EDINA,MN,55435.0,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,58.0,Y,N,Y,N,0.0,2.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,,,,,0.0,0.0,,
140,05/31/2020,255091,"LEXINGTON MANOR SENIOR CARE, LLC",56 ROCKPORT ROAD,LEXINGTON,MS,39095.0,N,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,,,,,,,0.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,28.6,POINT (-90.03914 33.112795)
141,05/31/2020,255150,BEDFORD CARE CENTER OF MENDENH,925 WEST MANGUM AVENUE,MENDENHALL,MS,39114.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-89.885456 31.968387)
142,05/31/2020,255192,CLAIBORNE COUNTY SENIOR CARE,2124 OLD HWY 61 SOUTH,PORT GIBSON,MS,39150.0,N,,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,5.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,POINT (-90.891 32.053164)
143,05/31/2020,255233,AZALEA GARDENS NURSING CENTER,530 HALL ST,WIGGINS,MS,39577.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-89.142305 30.851805000000002)
144,05/31/2020,255285,COMMUNITY PLACE,1129 LANGLEY AVE,JACKSON,MS,39204.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-90.195843 32.287537)
146,05/31/2020,255313,DUGAN MEMORIAL HOME,26894 EAST MAIN STREET,WEST POINT,MS,39773.0,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
