NEW JERSEY LTC FACILITES WITH COVID-19 CASES,,,,,,
"(as of May 27, 2020)",,,,,,
"*Includes facilitiy reported COVID-19 Confirmed cases. Suspect cases are excluded.                                     Cluster, outbreak and case investigations are ongoing; information may be incomplete and subject to change",,,,,,
,,,,,,
,,,,,,
County,Facility Name,Municipality,"Number of COVID
Confirmed Residents","Number of COVID
Confirmed Staff","Number of COVID
Confirmed Deaths among Residents",Number of COVID Confirmed Deaths among Staff
Bergen,Allendale Nursing Home/Carlton Crt/ Atrium AL,Allendale,73,35,24,0
Bergen,CareOne at Teaneck,Teaneck,52,28,25,0
Bergen,Care one at Oradell (Oradell Health care center),Oradell,43,26,25,0
Bergen,CareOne at Ridgewood,Paramus,118,65,26,0
Bergen,CareOne at Wellington,Hackensack,93,21,27,0
Bergen,Atrium at Park Ridge Acute Care,Park Ridge,96,45,31,1
Bergen,Hackensack Meridian health nursing and rehab- Regent Care Center,Hackensack,146,46,32,1
Bergen,Oakland Rehabilitaion and Healthcare Center,Oakland,110,61,42,2
Bergen,Bergen New Bridge Medical Center,Paramus,253,75,62,0
Bergen,Veterans Memorial Home - Paramus,Paramus,195,90,80,1
Burlington,Wiley Christian Retirement Community,Evesham Twp,2,1,0,0
Burlington,Harmony Village at Care One Stanwick Rd,Moorestown,6,9,0,0
Burlington,The Evergreens,Moorestown,7,20,1,1
Burlington,The Clare Estate Assisted Living,Bordentown City,2,3,1,0
Burlington,"Brightview Green Tree Senior Independent Living, Assisted Living, Memory Care",Evesham Twp,3,6,1,0
Burlington,Brookdale Westampton,Westhampton,2,4,1,0
Burlington,Medford Leas,Medford Twp,4,14,2,0
Burlington,Medford Convalescent and Nursing Center,Medford Twp,54,11,2,0
Burlington,Artis Senior Living at Evesham,Evesham Twp,17,6,2,0
Burlington,Brightview Mt Laurel,Mt Laurel,5,4,4,0
Burlington,Sterling Manor,Maple Shade,46,15,4,0
Burlington,CareOne at Evesham AL,Evesham Twp,16,9,6,0
Burlington,Aspen Hills Health Care Center,Pemberton,100,31,6,0
Burlington,Brandywine Living at Moorestown Estates,Moorestown,31,11,9,0
Burlington,New Lisbon Developmental Center,Pemberton,193,129,10,1
Burlington,PowerBack Rehabilitation- Moorestown,Moorestown,36,49,11,0
Burlington,The Palace Rehabilitation and Care Center,Maple Shade,94,13,11,0
Burlington,Genesis Healthcare Burlington Woods,Burlington Twp,82,31,12,0
Burlington,Laurel Brook Rehabilitation and Healthcare Center,Mt Laurel,79,28,14,0
Burlington,Masonic Village at Burlington,Burlington Twp,57,55,14,0
Burlington,CareOne at Evesham,Evesham Twp,51,37,15,0
Burlington,Wynwood Rehabilitation and Healthcare Center,Cinnaminson Twp,85,21,15,0
Burlington,Cambridge Rehabilitation and Healthcare Center at Moorestown,Moorestown,60,21,16,0
Burlington,Virtua Health and Rehabilitation Center at Mt Holly,Mt Holly,69,32,17,1
Burlington,CareOne at Moorestown,Moorestown,71,39,17,0
Burlington,Marcella Center,Burlington Twp,81,30,32,1
Camden,Laurel Manor Health Care Center,Stratford,3,0,0,0
Camden,Premier Cadbury Assisted Living,Cherry Hill,12,5,0,0
Camden,Virtua Health and Rehabilitation Center at Berlin,Berlin Boro,4,11,0,0
Camden,Bentley Senior Living,Pennsauken,6,1,1,0
Camden,Ivystone Assisted Living,Pennsauken,11,0,2,0
Camden,Allegria at the Fountains,Winslow Twp,0,9,2,0
Camden,Voorhees Senior Living,Voorhees Twp,7,1,2,0
Camden,St. Mary's Villa for Independent and Retirement Living,Cherry Hill,6,6,3,0
Camden,Majestic Center for Rehab and Sub-Acute Care,Camden,58,6,3,0
Camden,Riverfront Rehabilitation Health Center,Pennsauken,62,29,4,0
Camden,Brookdale Evesham,Voorhees Twp,25,13,6,0
Camden,Elmwood Hills Heath Center,Gloucester Twp,60,27,6,0
Camden,St. Mary's Center for Rehab,Cherry Hill,31,9,7,1
Camden,Spring Oaks at Berlin,Berlin Boro,24,7,9,0
Camden,Spring Hills Assisted Living,Cherry Hill,27,8,10,0
Camden,Abigail House LTC,Camden,73,27,12,0
Camden,Manor Care Voorhees,Voorhees Twp,41,13,12,0
Camden,Aristacare at Cherry Hill,Cherry Hill,62,16,12,0
Camden,United Methodist Community at Collingswood,Collingswood,33,14,13,0
Camden,The Pines at Voorhees (Voorhees Care and Rehab Center),Voorhees Twp,95,10,13,0
Camden,Lions Gate Continuing Care Retirement Community,Voorhees Twp,56,25,14,0
Camden,Barclay's Rehabilitation and Health Care Center,Cherry Hill,52,14,14,0
Camden,Silver Healthcare Center,Cherry Hill,106,19,16,0
Camden,Avista Healthcare,Cherry Hill,42,18,17,2
Camden,Premier Cadbury at Cherry Hill,Cherry Hill,73,29,21,0
Camden,Voorhees Center,Voorhees Twp,123,41,33,0
Cape_May,Genesis Court House Center,Middle Twp,4,0,0,0
Cape_May,The Shores at Wesley Manor,Ocean City,4,13,1,0
Cape_May,Victoria Commons,Lower Twp,2,0,1,0
Cape_May,Autumn Lake Healthcare at Oceanview,Dennis Twp,35,11,3,0
Cape_May,Woodbine Development Center,Woodbine,38,58,7,0
Cape_May,North Cape Center,Cape May,53,28,11,0
Cape_May,Genesis Healthcare Victoria Manor,Lower Twp,51,25,15,0
Cumberland,Lincoln Specialty Care Center,Vineland,1,6,0,1
Cumberland,South Jersey Extended Care,Bridgeton,39,17,0,0
Cumberland,Cumberland Manor Nursing and Rehabilitation,Bridgeton,0,10,0,0
Cumberland,Bishop McCarthy Center for Rehabilitation and Healthcare,Vineland,28,18,1,0
Cumberland,Veterans Memorial Home at Vineland,Vineland,8,19,3,0
Cumberland,Vineland Developmental Center,Vineland,89,75,5,0
Cumberland,Genesis Healthcare Millville Center,Millville,103,27,22,0
Essex,Parkview Boarding Home,Bloomfield,3,1,0,0
Essex,Little Nursing Home,Montclair,1,1,0,0
Essex,White House Healthcare and Rehabilitation Center,Orange,52,19,1,0
Essex,St. Catherine of Sienna,Caldwell,13,8,1,0
Essex,Broadway House for Continuing Care,Newark,9,24,1,0
Essex,Horizon Manor - North,Montclair,10,2,2,1
Essex,Green Hill Assisted Living,West Orange,13,15,2,1
Essex,Horizon Manor - South,Montclair,7,0,3,0
Essex,Arden Courts of West Orange,West Orange,9,10,4,0
Essex,Winchester Gardens,Maplewood,18,12,5,0
Essex,Cranes Mill AL,West Caldwell,16,3,6,0
Essex,Brandywine Assisted Living in Livingston,Livingston,16,0,6,0
Essex,House of the Holy Comforter Canterbury Village,West Orange,18,1,6,0
Essex,Arbor Terrace,Roseland Boro,16,7,7,0
Essex,Care one at Livingston,Livingston,40,16,8,0
Essex,Brighton Gardens of West Orange,West Orange,22,5,8,0
Essex,Arbor Glen Center,Cedar Grove,36,18,9,0
Essex,Alaris Health at West Orange,West Orange,33,19,9,1
Essex,Brookhaven Health Care Center,East Orange,54,15,9,1
Essex,Alaris Health at Cedar Grove,Cedar Grove,55,33,10,0
Essex,Sunrise West Essex AL,Fairfield,24,16,10,0
Essex,Atrium Post Acute Care of Livingston,Livingston,121,17,10,0
Essex,Crane's Mill,West Caldwell,20,29,11,1
Essex,New Community Extended Care Facility,Newark,48,23,11,1
Essex,Gates Manor/Montclair Care Center,Montclair,28,8,12,0
Essex,Alaris at St Marys,Orange,21,27,12,0
Essex,Job Haines Home,Bloomfield,45,18,12,1
Essex,CareOne At Livingston Assisted Living,Livingston,19,19,13,2
Essex,The Cliff's at Eagle Rock,West Orange,39,27,13,0
Essex,Brookdale Senior Living of West Orange,West Orange,48,30,13,1
Essex,Family of Caring at Montclair,Montclair,21,20,14,1
Essex,Park Crescent Rehabilitation,East Orange,84,31,14,1
Essex,Windsor Gardens Care & Rehabilitation Center,East Orange,73,29,16,0
Essex,Daughters of Israel,West Orange,56,48,17,0
Essex,Forest Hill Health Care Center,Newark,55,30,17,0
Essex,Stratford Manor Rehabilitation Center,West Orange,60,14,18,0
Essex,The Canterbury At Cedar Grove Care and Rehabilitation,Cedar Grove,156,23,19,0
Essex,"Sinai Post-Acute, Nursing & Rehab Center",Newark,99,44,19,0
Essex,Alaris Health at Essex,Irvington,35,21,19,0
Essex,Inglemoor Rehabilitation & Care Center,Livingston,64,40,19,1
Essex,Complete Care at Summit Ridge,West Orange,57,15,20,0
Essex,Hackensack Meridian Health West Caldwell Center,West Caldwell,100,29,21,1
Essex,New Grove Manor,East Orange,104,8,21,2
Essex,Waterview Center - Genesis at Cedar Grove,Cedar Grove,65,26,22,0
Essex,Saint Joseph's Health Care and Rehab Center,Cedar Grove,84,58,27,1
Essex,New Vista,Newark,58,11,36,2
Gloucester,Terraces at Parke Place,Mantua,1,1,0,0
Gloucester,United Methodist Communities at Pitman,Pitman,6,9,1,0
Gloucester,Woodbury Mews AL,Woodbury,0,1,2,0
Gloucester,Jefferson Health Care Center,Mantua,17,8,2,0
Gloucester,Cardinal Village,Mantua,13,18,3,0
Gloucester,Cedar Grove Respiratory and Nursing Care Center,Monroe Twp,9,8,4,0
Gloucester,Twin Cedars Assisted Living,Wenonah,16,3,4,0
Gloucester,All American Assisted Living,Mantua,11,15,4,0
Gloucester,Fox Trail Assited Living at Deptford,Deptford,29,4,5,0
Gloucester,Traditions of Cross Keys,Glassboro,20,1,7,0
Gloucester,Washington Township Senior Living,Mantua,16,8,8,0
Gloucester,ManorCare West Deptford,West Deptford,49,43,16,2
Gloucester,Advanced Subacute Rehabilitation Center,Mantua,83,44,26,0
Gloucester,Deptford Center for Rehab,Deptford,167,51,28,0
Hudson,Hudson Hills Senior Living,North Bergen,10,0,0,0
Hudson,Alaris Health at Belgrove,Kearny,22,18,2,0
Hudson,Alaris Health at The Atrium,Jersey City,22,9,2,1
Hudson,Alaris Health at HarborView,Jersey City,42,24,4,0
Hudson,Manhattanview Healthcare Center,Union City,41,26,5,0
Hudson,Alaris Health at Jersey City,Jersey city,55,23,6,0
Hudson,Alaris Health at the Fountains,Secaucus,73,49,7,1
Hudson,Alaris at Castle Hill,Union City,26,5,8,1
Hudson,Peace Care St. Ann's,Jersey City,42,23,10,0
Hudson,Alaris Health at Boulevard East,Guttenberg,30,37,11,0
Hudson,Peace Care St. Joseph's,Jersey City,52,30,14,0
Hudson,Alaris Health at Kearny,Kearny,66,19,17,0
Hudson,Alaris Health at Hamilton Park,Jersey City,110,42,31,2
Hudson,The Harborage,North Bergen,13,51,33,1
Hudson,HudsonView Center for Rehab and Healthcare,North Bergen,109,53,37,1
Hunterdon,Rolling Hills HealthCare Center,Clinton Twp,7,13,1,0
Hunterdon,Hunterdon Developmental Center,Union Twp,89,85,3,0
Hunterdon,Country Arch Care Center,Franklin Twp,49,31,12,1
Hunterdon,Hunterdon Care Center,Raritan Twp,62,35,17,1
Mercer,St. Lawrence Rehab Center,Lawrence Twp,37,12,0,0
Mercer,Abrams Assisted Living Facility,Ewing Twp,1,5,0,0
Mercer,Rose Hill Assisted Living,Robbinsville Twp,4,5,2,0
Mercer,Preferred Care at Hamilton,Hamilton Twp,16,4,2,0
Mercer,Royal Health Gate Nursing Home,Trenton,26,9,4,0
Mercer,Brandywine Living at Pennington,Pennington Boro,11,8,5,0
Mercer,Homestead at Hamilton,Hamilton Twp,14,4,6,0
Mercer,Acorn Glen,Princeton,16,4,7,0
Mercer,Bear Creek Assisted Living,West Windsor Twp,31,16,8,0
Mercer,Princeton Care Center,Princeton,23,17,8,0
Mercer,Brookdale Hamilton,Hamilton Twp,30,19,8,0
Mercer,Meadow Lakes East Windsor,East Windsor Twp,26,23,9,0
Mercer,Mercerville Center,Hamilton Twp,57,37,11,0
Mercer,Artis Senior Living Princeton Junction,Princeton,27,11,12,0
Mercer,CareOne Hamilton,Hamilton Twp,49,24,14,1
Mercer,Preferred Care at Mercer,Ewing Twp,59,32,17,0
Mercer,Providence Nursing and Rehab,Trenton,54,10,18,1
Mercer,Clover Meadows Healthcare and Rehab Center,Lawrence Twp,54,21,21,0
Mercer,Greenwood House,Ewing Twp,95,58,24,0
Mercer,St. Josephs Morris Hall,Lawrence Twp,120,65,24,0
Mercer,Hamilton Grove,Hamilton Twp,89,21,24,0
Mercer,Water's Edge Healthcare and Rehabilitation Center,Trenton,108,51,28,1
Mercer,Hamilton Continuing Care,Hamilton Twp,104,43,37,0
Middlesex,Heritage at Clara barton,Edison,1,5,0,0
Middlesex,Elms of Cranbury,Cranbury,22,10,0,0
Middlesex,Brandywine Living in Princeton,South Brunswick,0,2,0,0
Middlesex,JFK Hartwyck at Oak Tree Road,Edison,33,20,0,0
Middlesex,Monroe Village Assisted Living,Monroe Twp,3,3,0,0
Middlesex,Powerback Rehabilitation Piscataway,Piscataway,13,0,0,0
Middlesex,The Parker at River Road,Piscataway,6,12,1,0
Middlesex,Reformed Church Home,Old Bridge,13,17,1,0
Middlesex,Parker at Stonegate,Highland Park,1,3,1,0
Middlesex,Roosevelt Care Center Old Bridge,Old Bridge,17,9,2,1
Middlesex,Summer Hill Nursing and RehabCenter,Old Bridge,23,7,2,0
Middlesex,Sunrise Assisted living of East Brunswick,East Brunswick,22,6,2,0
Middlesex,Brookdale Monroe,Monroe Twp,8,12,2,0
Middlesex,Fox Trail Memory Care Living South River,South River,7,2,3,0
Middlesex,Atrium Senior Living Of Princeton,Plainsboro,6,0,4,0
Middlesex,Millennium Memory Care at Monroe,Monroe Twp,16,1,5,0
Middlesex,Brighton Gardens of Edison (LTC),Edison,21,2,6,0
Middlesex,The Chelsea at East Brunswick,East Brunswick,12,9,6,0
Middlesex,Parker at Monroe,Monroe Twp,17,13,6,0
Middlesex,Parker at Landing Lane,New Brunswick,14,16,7,0
Middlesex,Monroe Village (Village Point) REHAB,Monroe Twp,18,8,7,0
Middlesex,Merwick Care & Rehabilitation Center,Plainsboro,28,14,7,0
Middlesex,Amboy Care Center,Perth Amboy,42,4,8,0
Middlesex,Brighton Gardens Of Edison (AL),Edison,20,9,9,0
Middlesex,Venetian Care and Rehabilitation Center,South Amboy,39,21,10,0
Middlesex,"Preferred Care at Old Bridge, LLC",Old Bridge,46,16,10,0
Middlesex,Park Place Center,South Brunswick,44,24,14,1
Middlesex,The Gardens at Monroe Healthcare and Rehab Center,Monroe Twp,43,22,14,0
Middlesex,Roosevelt Care Center at Edison,Edison,64,26,15,1
Middlesex,Whispering Knoll Assisted Living,Edison,32,11,15,0
Middlesex,Atrium Post Acute Care and Rehab of Princeton,Plainsboro,66,14,16,0
Middlesex,Madison Center,Old Bridge,81,11,18,0
Middlesex,Rose Mountain Care Center,New Brunswick,59,13,19,0
Middlesex,The Chelsea At Forsgate,Monroe Twp,45,15,20,0
Middlesex,Care One at East Brunswick,East Brunswick,62,38,22,0
Middlesex,Cranbury Center,Monroe Twp,68,29,23,0
Middlesex,Alameda Center for Rehabilitation and Healthcare,Perth Amboy,60,67,23,2
Middlesex,Care One at the Highlands,Edison,58,54,25,1
Middlesex,JFK Hartwyck At Edison Estates,Edison,135,33,27,0
Middlesex,AristaCare at Cedar Oaks,South Plainfield,106,25,28,0
Middlesex,St. Joseph's Senior Home/Assisted Living,Woodbridge,80,36,36,0
Middlesex,NJ Veterans Home at Menlo Park,Edison,120,100,61,1
Monmouth,Hackensack Meridian Health Nursing & Rehab (Manor by the Sea),Neptune Twp,31,14,0,0
Monmouth,Coral Harbor Rehabilitation and Healthcare Center,Neptune Cit,1,2,0,0
Monmouth,The Willows At Holmdel,Holmdel,2,3,0,0
Monmouth,Neptune Gardens Nursing & Rehab,Neptune Twp,2,2,0,0
Monmouth,Jersey Shore Center,Eatontown,12,9,1,0
Monmouth,Atrium at Navesink Harbor Assisted Living,Red Bank,3,7,1,0
Monmouth,Hackensack Meridian Health at Shrewsbury,Shrewsbury Twp,5,9,1,0
Monmouth,Wellington Estates AL,Wall Twp,8,7,1,0
Monmouth,Brandywine Assisted Living at Wall,Wall Twp,1,2,1,0
Monmouth,Sunrise of Lincroft,Middletown,8,6,1,0
Monmouth,Hackensack Meridian Health at Wall,Wall Twp,29,31,2,1
Monmouth,The Chelsea at Shrewsbury,Shrewsbury Twp,8,10,2,0
Monmouth,Brandywine Living at Governor's Crossing,Englishtown Boro,7,4,2,0
Monmouth,Arbor Terrace of Middletown,Middletown,10,4,2,0
Monmouth,The Chelsea at Manalapan,Manalapan,10,1,3,0
Monmouth,Wardell Gardens Nursing and Rehab at Tinton Falls,Tinton Falls,26,9,4,0
Monmouth,The Jewish Home for Rehab and Nursing,Freehold Twp,10,15,4,0
Monmouth,Imperial Healthcare,Neptune Cit,58,18,4,0
Monmouth,Seabrook Senior Living,Tinton Falls,14,37,4,1
Monmouth,Millennium Memory Care at Holmdel,Holmdel,8,1,4,0
Monmouth,Bayside Manor Assisted Living,Keansburg,6,5,5,0
Monmouth,Laurel Bay Health and Rehab Center,Keansburg,41,7,5,0
Monmouth,Millennium Memory Care Ocean,Ocean Twp,12,2,5,0
Monmouth,Sunrise Assisted Living of Marlboro,Marlboro Twp,10,6,6,0
Monmouth,Sunrise Assisted Living - Wall,Wall Twp,10,5,6,0
Monmouth,The Solana Marlboro By Chelsea Senior Living,Marlboro Twp,4,19,6,0
Monmouth,Arbor Terrace of Shrewbury,Tinton Falls,14,3,6,0
Monmouth,Millennium Memory Care of at Matawan,Matawan,13,3,6,0
Monmouth,Atria senior Living Tinton Falls,Tinton Falls,24,3,6,0
Monmouth,Brandywine Living at Howell,Howell Twp,17,6,7,0
Monmouth,Allaire Rehab and Nursing,Freehold Twp,43,17,7,0
Monmouth,Monmouth Care Center,Long Branch,30,13,7,0
Monmouth,Allegria at Ocean Grove,Neptune Twp,17,9,7,0
Monmouth,Atrium Senior Living at Matawan,Matawan,20,7,8,0
Monmouth,The Chelsea at Tinton Falls,Tinton Falls,17,5,8,0
Monmouth,Monmouth Crossing Assisted Living,Freehold Twp,20,8,9,0
Monmouth,Applewood Retirement Community,Freehold Twp,36,16,9,0
Monmouth,Brighton Gardens of Middletown,Middletown,39,19,10,0
Monmouth,Prefered Care at Wall,Wall Twp,63,9,11,0
Monmouth,Atrium Post Acute at Matawan,Matawan,59,36,12,0
Monmouth,Mattison Crossing,Freehold Twp,46,11,12,0
Monmouth,Arnold Walter Nursing & Rehab,Hazlet,44,14,14,0
Monmouth,Hackensack Meridian Health at Red Bank,Red Bank,80,12,14,0
Monmouth,Care One at King James,Middletown,90,42,15,0
Monmouth,Wedgewood Gardens,Freehold Twp,68,20,16,0
Monmouth,Kings Manor Care and Rehab center,Neptune Cit,44,11,16,0
Monmouth,CareOne at Wall,Wall Twp,67,40,17,0
Monmouth,Anchor Care and Rehabilitation,Hazlet,5,27,18,1
Monmouth,Bayshore Healthcare Center - Holmdel,Holmdel,82,30,20,0
Monmouth,The Manor Health and Rehabilitation Center,Freehold Twp,60,33,20,1
Monmouth,Pine Brook Rehabilitation & Care Center,Manalapan,45,16,23,1
Monmouth,Gateway Care Center,Eatontown,99,29,24,0
Monmouth,CareOne at Holmdel,Holmdel,70,31,26,0
Morris,Cheshire Home,Florham Park Boro,4,5,0,0
Morris,Brookdale Florham Park,Florham Park Boro,8,7,0,0
Morris,The Oaks at Denville,Denville,2,2,0,0
Morris,The Dwelling at St. Clare's Dover,Dover,0,3,0,0
Morris,Fox Trail Memory Care Living Chester,Chester Twp,0,1,1,0
Morris,Sunrise Assisted Living of Morris Plains,Morris Plains Boro,3,1,1,0
Morris,Spring Hills of Morristown,Morristown,6,3,2,0
Morris,CareOne at Morris Assisted Living,Parsippany-Troy Hills,5,3,2,0
Morris,Arden Courts of Whippany,Hanover Twp,5,7,3,0
Morris,Sunrise of Randolph,Randolph,9,6,3,0
Morris,Arbor Terrace Morris Plain,Morris Plains Boro,9,8,3,0
Morris,The Oaks at Denville,Denville,14,7,4,0
Morris,Cedar Crest Senior Living Community,Pequannock,16,18,4,0
Morris,The Country Home Memory Care Facility,Parsippany-Troy Hills,8,1,4,0
Morris,Victoria Mews Assisted Living,Boonton Twp,28,24,4,0
Morris,Garden Terrace Nursing Home,Chatham Boro,8,4,4,0
Morris,Fox Trail Memory Care Living Montville,Montville,5,4,5,0
Morris,Sunrise of Madison,Madison Boro,10,9,5,0
Morris,Bentley Commons at Paragon Village,Hackettstown,10,12,5,0
Morris,Lincoln Park Renaissance and Villas at JDT,Lincoln Park,49,32,5,0
Morris,Boonton Care Center,Boonton Twp,42,15,6,0
Morris,Weston Assisted Living Residence,Hanover Twp,9,9,7,0
Morris,Troy Hills Center,Parsippany-Troy Hills,45,16,8,0
Morris,The Chelsea at Montville,Montville,19,7,8,0
Morris,Pine Acres Healthcare and Rehab/Convalescent Center,Madison Boro,45,12,8,1
Morris,Mt. Arlington Senior Living,Mt Arlington Boro,16,7,8,0
Morris,Brightview Randolph LLC,Randolph,16,9,8,0
Morris,Heath Village,Hackettstown,38,27,9,0
Morris,Juniper Village at Chatham,Chatham Twp,40,10,10,0
Morris,The Villa at Florham Park,Florham Park Boro,36,17,12,0
Morris,Merry Heart Nursing Home,Roxbury Twp,23,8,12,0
Morris,Cedar Crest - Mountainview Gardens,Pequannock,33,15,12,0
Morris,Morristown Post Acute Rehabilitation and Nursing Center,Morristown,49,23,14,0
Morris,Chatham Hills Subacute Care Center,Chatham Twp,49,26,16,0
Morris,New Jersey Firemen's Home,Boonton Twp,33,28,19,0
Morris,Regency Grande Nursing and Rehabilitaion Center,Dover,41,16,19,0
Morris,Holly Manor Center,Mendham Boro,57,15,21,1
Morris,Brighton Gardens of Florham Park,Florham Park Boro,45,16,24,1
Morris,Morris View Healthcare Center,Morris Twp,115,30,27,0
Morris,CareOne at Morris,Parsippany-Troy Hills,106,32,35,0
Morris,CareOne at Madison Avenue,Morristown,69,31,43,0
Morris,Lincoln Park Care Center,Lincoln Park,182,74,64,0
Ocean,Artis at Brick,Brick Twp,0,3,0,0
Ocean,Hearthstone Estates Assisted Living,Lakewood,2,2,0,0
Ocean,Bella Terra Assisted Living Residence,Jackson Twp,2,4,0,0
Ocean,The Pines at Whiting,Manchester,1,6,0,0
Ocean,Brandywine Living at Toms River,Toms River Twp,2,3,0,0
Ocean,Children's Specialized Hospital,Toms River Twp,2,10,0,0
Ocean,Atria Senior Living- Manahawkin,Stafford,1,2,1,0
Ocean,Manahawkin Nursing and Rehabilitation Center,Stafford,8,3,1,0
Ocean,Harrogate,Lakewood,17,4,1,0
Ocean,Care One at Jackson,Jackson Twp,23,12,1,0
Ocean,The Orchards at Bartley,Jackson Twp,4,6,1,0
Ocean,Complete Care at Arbors Haven,Toms River Twp,5,3,1,0
Ocean,Lakewood Courtyard,Lakewood,3,6,1,0
Ocean,Sunrise Assisted Living of Jackson,Jackson Twp,3,3,1,0
